Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"30002, Avondale Estates, GA",30002,5639,283,286,2612,2612,2543,2416,173,5466,32,1,1,89,20,2416,75110.49187,47789,33599,81,81,1235,53,7,10,0,0,32,4
"30004, Alpharetta, GA",30004,55693,5883,5924,5031,4941,41572,38332,4981,50712,146,26,26,3100,264,38332,143749.1213,110226,51482,1884,1875,15513,1223,313,41,9,5,792,63
"30005, Alpharetta, GA",30005,34440,7190,7201,3489,3443,22230,20683,2144,32296,56,13,10,1514,175,20683,148406.6016,113054,50025,2210,2207,7818,543,110,12,3,4,383,31
"30008, Marietta, GA",30008,31281,807,732,13838,12872,11872,7667,9303,21978,396,116,43,4838,533,7667,70999.29798,49405,24325,252,250,4190,2005,749,90,2,23,1018,123
"30009, Alpharetta, GA",30009,15200,1757,1741,2017,1936,10385,9291,1835,13365,66,14,2,1126,122,9291,105244.2224,87076,43563,641,640,4559,459,118,19,1,2,287,32
"30011, Auburn, GA",30011,15383,665,662,1573,1562,12204,11491,1287,14096,23,13,8,694,93,11491,81555.217,65672,26956,163,162,4252,268,83,4,1,4,156,20
"30012, Conyers, GA",30012,27357,328,294,11946,11257,11424,9326,5617,21740,173,45,20,2668,237,9326,70506.5528,53749,25573,125,122,4513,946,445,40,3,9,386,63
"30013, Conyers, GA",30013,26466,572,559,16409,16011,7888,7287,1878,24588,195,13,6,821,120,7287,79716.79516,66863,28277,206,206,3272,342,139,48,0,3,131,21
"30014, Covington, GA",30014,35490,332,322,12969,12978,20784,19813,1821,33669,171,23,14,780,127,19813,71068.43996,56878,25761,58,57,7703,389,170,34,1,5,161,18
"30016, Covington, GA",30016,52565,442,424,27872,27685,22114,20649,2755,49810,379,15,21,1263,242,20649,67058.83193,58744,22890,107,103,8014,572,175,88,4,4,264,37
"30017, Grayson, GA",30017,21627,1216,1215,6875,6778,12246,11519,1418,20209,118,26,5,700,146,11519,110457.3481,92650,36817,307,305,4555,350,110,32,2,5,180,21
"30019, Dacula, GA",30019,44035,1986,1972,9195,8950,29825,27375,4519,39516,240,49,13,2457,338,27375,97547.72314,86550,30379,517,516,9989,1049,335,53,1,12,592,56
"30021, Clarkston, GA",30021,23112,4186,4181,13635,13486,3960,3598,928,22184,203,12,22,288,86,3598,50181.88595,36952,18077,935,929,1831,249,82,67,6,3,80,11
"30022, Alpharetta, GA",30022,66261,10428,10461,7529,7411,45142,41854,4691,61570,159,31,25,3179,334,41854,136344.7987,111976,49742,3191,3184,17465,1226,260,44,7,6,837,72
"30024, Suwanee, GA",30024,70416,14682,14596,7156,6950,45081,41732,5258,65158,193,37,58,3393,325,41732,131337.8845,112527,42112,4026,4014,15492,1300,323,47,12,8,858,52
"30025, Social Circle, GA",30025,9042,64,64,1899,1932,6845,6641,258,8784,9,3,1,158,23,6641,73819.00249,60720,26528,13,13,2530,48,11,1,0,0,32,4
"30028, Cumming, GA",30028,24573,308,333,387,410,22641,21742,1625,22948,11,15,2,801,86,21742,90589.77519,80436,30370,83,82,7825,368,136,5,1,6,208,12
"30030, Decatur, GA",30030,27269,1393,1427,5748,5860,19078,18224,871,26398,71,9,11,598,92,18224,96949.44736,72494,45461,533,529,9150,284,25,26,4,3,205,21
"30032, Decatur, GA",30032,49272,356,354,42711,42336,4803,4367,1278,47994,453,9,3,356,137,4367,54994.8007,43276,20849,116,114,2217,340,87,100,2,2,109,40
"30033, Decatur, GA",30033,31620,5044,5174,3782,3795,21264,19953,1590,30030,92,15,12,1033,134,19953,90753.70982,67894,41142,1661,1654,10285,487,80,33,7,4,327,36
"30034, Decatur, GA",30034,42758,138,136,40885,40555,893,789,625,42133,350,7,2,84,88,789,71157.13762,60614,26745,41,40,419,182,23,106,1,3,24,25
"30035, Decatur, GA",30035,21894,279,271,20171,19963,848,727,516,21378,215,3,8,114,48,727,62805.57178,53340,23551,70,68,410,146,38,58,2,1,32,14
"30038, Lithonia, GA",30038,38820,113,111,36391,35981,1242,1134,823,37997,435,12,2,83,139,1134,74002.18927,60697,28607,42,42,624,215,39,124,0,4,23,25
"30039, Snellville, GA",30039,45665,1370,1352,27518,26855,13334,11894,4103,41562,536,35,12,1579,452,11894,88203.55827,73894,28953,415,413,5230,936,341,151,2,6,359,77
"30040, Cumming, GA",30040,61993,3129,3144,1999,1941,51449,47501,8044,53949,80,80,20,3876,395,47501,106012.8882,90927,36420,953,938,18617,1756,682,38,15,22,924,75
"30041, Cumming, GA",30041,62565,4598,4630,1084,1060,53913,50614,5009,57556,37,54,23,3216,199,50614,117815.0794,99973,40448,1321,1310,19257,1111,273,14,11,15,763,35
"30043, Lawrenceville, GA",30043,82060,10393,10200,18621,17794,44965,38435,12918,69142,596,163,60,6929,898,38435,95193.10608,80605,31532,2826,2814,16330,3065,1016,144,12,31,1712,150
"30044, Lawrenceville, GA",30044,88789,11622,11125,26081,24300,35267,24712,25869,62920,929,397,106,11897,1474,24712,76166.85458,62572,24597,3164,3144,12747,6132,2681,268,20,74,2800,289
"30045, Lawrenceville, GA",30045,34928,2030,1979,14685,14173,14848,12350,5313,29615,304,96,22,2751,348,12350,95580.23516,81351,29286,499,496,5113,1212,410,72,3,19,647,61
"30046, Lawrenceville, GA",30046,39490,3129,3019,13564,12787,16598,12632,9841,29649,431,165,29,4425,625,12632,66162.30085,55471,22769,827,820,6568,2328,994,113,7,32,1053,129
"30047, Lilburn, GA",30047,61366,9053,8836,11776,11178,33139,28010,11481,49885,387,210,49,5544,662,28010,95480.57886,77328,32081,2358,2350,12717,2572,1076,89,8,39,1216,144
"30052, Loganville, GA",30052,61903,1192,1174,14595,14389,42713,40434,4254,57649,304,35,26,2163,394,40434,86092.82086,73416,28901,322,314,15323,986,308,69,8,5,531,65
"30054, Oxford, GA",30054,13052,271,272,3065,3129,9386,9064,396,12656,34,9,7,210,31,9064,88369.90942,70383,31294,22,21,3354,73,20,5,1,1,41,5
"30055, Mansfield, GA",30055,3434,13,14,283,301,3036,2965,84,3350,1,5,0,47,7,2965,80697.57049,65019,28743,4,4,1087,19,4,1,0,1,12,1
"30056, Newborn, GA",30056,2557,11,9,348,351,2073,2024,129,2428,3,6,2,43,15,2024,66215.98068,52976,22792,1,1,728,24,9,1,0,1,10,3
"30058, Lithonia, GA",30058,55460,266,263,51252,50600,2217,1808,1725,53735,640,10,3,421,182,1808,70947.79683,57396,25879,77,77,981,474,132,184,0,6,106,46
"30060, Marietta, GA",30060,36021,1142,1003,11394,10206,16938,10665,13264,22757,420,153,64,7183,652,10665,58578.65645,43309,21112,374,368,6398,2891,1069,95,6,30,1544,147
"30062, Marietta, GA",30062,63840,5455,5595,7276,7319,47685,43762,5342,58498,177,39,27,3482,271,43762,117658.0821,96774,43207,1636,1631,18164,1344,315,45,5,10,910,59
"30064, Marietta, GA",30064,50116,1399,1401,11636,11633,34150,31111,4716,45400,225,63,25,2766,239,31111,107049.0442,84491,39960,387,385,13533,1108,302,48,2,13,699,44
"30066, Marietta, GA",30066,56625,3612,3812,7320,7579,42725,38809,4621,52004,193,58,28,3128,240,38809,105143.8163,86403,38933,1067,1064,16395,1190,216,46,3,17,858,50
"30067, Marietta, GA",30067,46520,2986,2952,14612,14123,24576,21029,6599,39921,524,63,41,3501,385,21029,88196.80581,60239,38290,1099,1082,10963,1953,595,166,17,14,1053,108
"30068, Marietta, GA",30068,34422,2745,2891,2545,2602,27863,26338,1665,32757,82,1,9,1182,105,26338,132950.7867,110043,50983,838,837,11041,449,71,21,1,1,329,26
"30070, Porterdale, GA",30070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30071, Norcross, GA",30071,23580,3127,2877,4706,4179,8001,4217,11656,11924,228,215,44,4336,693,4217,63732.4672,46926,19834,918,911,2911,2612,1424,62,7,41,916,162
"30072, Pine Lake, GA",30072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30075, Roswell, GA",30075,56022,2471,2502,4735,4702,45933,42936,4513,51509,117,32,14,2843,235,42936,137003.7626,112136,51715,765,764,17774,1060,300,30,1,7,679,43
"30076, Roswell, GA",30076,46747,2260,2108,6884,6264,31996,25344,11869,34878,247,140,26,7220,607,25344,103441.0932,76695,39112,772,767,12958,2663,826,60,5,25,1608,139
"30078, Snellville, GA",30078,34414,2273,2261,10290,10049,19028,17614,3313,31101,233,17,10,1425,334,17614,90957.18377,74137,31656,600,597,7311,768,298,70,3,4,332,61
"30079, Scottdale, GA",30079,3444,331,332,1865,1847,1066,949,197,3247,33,1,2,98,11,949,60235.22285,42415,24850,104,103,563,52,12,10,1,0,26,3
"30080, Smyrna, GA",30080,52862,2810,2758,17762,17180,27175,22244,9165,43697,529,76,44,4996,481,22244,90135.51949,64458,42821,1201,1188,13467,2455,776,169,13,21,1352,124
"30082, Smyrna, GA",30082,26641,1278,1270,8149,8022,14883,12684,3827,22814,206,37,20,2100,229,12684,103236.9769,79752,42700,433,430,6631,954,303,54,3,8,527,59
"30083, Stone Mountain, GA",30083,52714,3130,3107,40551,40015,6310,5507,2724,49990,559,29,25,777,248,5507,63228.08662,50895,24154,754,747,3093,693,259,152,7,6,210,59
"30084, Tucker, GA",30084,36208,3943,3911,8462,8210,19071,15772,7266,28942,257,145,35,3290,486,15772,83185.54114,65998,32901,1182,1172,8408,1734,728,64,10,33,796,103
"30087, Stone Mountain, GA",30087,37254,1770,1765,22516,22260,10787,10006,2169,35085,313,46,10,717,196,10006,101734.104,83397,36978,494,491,4854,518,210,82,3,10,180,33
