Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"41001, Alexandria, KY",41001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41002, Augusta, KY",41002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40003, Bagdad, KY",40003,2081,4,4,30,35,1986,1939,61,2020,3,1,1,28,5,1939,90549.05072,69572,33461,1,0,741,12,6,0,1,0,5,0
"40004, Bardstown, KY",40004,29028,165,162,2254,2236,25718,25399,710,28318,14,3,3,324,81,25399,66122.71012,51041,26265,48,46,10314,172,57,11,2,1,92,8
"40006, Bedford, KY",40006,5204,32,31,22,15,4992,4936,151,5053,7,5,2,53,13,4936,68720.09392,59610,26481,5,5,1939,35,14,1,0,1,18,1
"40007, Bethlehem, KY",40007,244,0,0,1,1,241,238,3,241,0,0,0,2,0,238,57777.77778,48636,23443,0,0,99,1,0,0,0,0,1,0
"41005, Burlington, KY",41005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41006, Butler, KY",41006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41007, California, KY",41007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41010, Corinth, KY",41010,2962,6,6,10,10,2873,2843,54,2908,1,1,1,22,3,2843,59904.49862,49610,21984,1,1,1065,8,3,0,0,1,3,1
"41011, Covington, KY",41011,25321,285,231,3258,3186,20097,19736,1240,24081,44,16,52,400,84,19736,63818.25949,44383,29915,117,97,9393,303,132,14,20,7,111,19
"41014, Covington, KY",41014,7249,40,37,1029,1012,5630,5549,234,7015,10,1,3,90,32,5549,50253.43148,40032,21649,8,8,2505,54,22,1,0,1,26,4
"41015, Latonia, KY",41015,21159,151,147,575,551,19647,19479,380,20779,14,4,1,193,45,19479,70190.18828,55476,28032,53,52,7935,74,21,4,1,3,37,8
"41016, Covington, KY",41016,5940,21,19,86,79,5705,5624,117,5823,1,0,1,95,6,5624,63157.12244,47065,26626,10,10,2420,27,4,1,0,0,22,0
"41017, Ft Mitchell, KY",41017,39954,876,835,689,653,37413,36972,829,39125,8,5,6,532,44,36972,96869.53762,74061,38734,274,270,15028,225,55,3,4,0,154,9
"41018, Erlanger, KY",41018,27153,277,269,1141,1092,24084,23551,1453,25700,15,16,0,600,110,23551,72752.45178,59426,28227,88,88,9523,323,142,3,0,3,161,14
"41030, Crittenden, KY",41030,5428,25,24,32,33,5229,5148,142,5286,1,0,2,73,12,5148,62790.55312,52188,21684,8,8,1835,27,8,1,0,0,17,1
"41033, De Mossville, KY",41033,2010,3,3,11,8,1984,1958,34,1976,2,4,0,28,0,1958,63523.35714,62747,23369,0,0,699,4,0,0,0,1,3,0
"41034, Dover, KY",41034,992,7,7,21,19,954,952,4,988,0,0,0,4,0,952,53836.46113,44762,20258,1,1,361,0,0,0,0,0,0,0
"41035, Dry Ridge, KY",41035,11213,87,86,51,50,10794,10604,332,10881,2,3,3,183,15,10604,69862.50385,55738,24366,22,20,3803,65,25,2,2,0,34,0
"41040, Falmouth, KY",41040,7408,13,11,40,40,7258,7195,85,7323,4,3,3,51,12,7195,58472.178,47523,22263,2,2,2764,18,4,1,0,1,12,0
"41042, Florence, KY",41042,51446,1532,1489,1896,1851,45085,43894,2841,48605,25,22,28,1240,168,43894,72350.54528,62283,28506,517,513,18247,792,321,6,4,5,409,47
"41043, Foster, KY",41043,1689,3,2,1,1,1666,1655,17,1672,0,0,1,11,0,1655,75326.4374,56884,28875,1,0,638,4,1,0,1,0,2,0
"41044, Germantown, KY",41044,1017,1,1,9,10,993,989,9,1008,0,0,0,3,0,989,58704.73684,44882,21979,0,0,375,2,1,0,0,0,1,0
"41045, Ghent, KY",41045,706,13,13,13,13,640,638,23,683,0,2,0,1,3,638,86064.69925,61111,32434,2,2,246,5,5,0,0,0,0,0
"41046, Glencoe, KY",41046,1945,2,2,13,13,1878,1857,42,1903,1,0,0,17,8,1857,68445.11577,59746,24316,1,1,680,7,3,0,0,0,4,0
"41048, Hebron, KY",41048,16234,361,355,361,343,14915,14665,489,15745,16,4,4,256,44,14665,108818.4317,97565,35677,111,111,4974,118,30,4,0,1,78,5
"41051, Independence, KY",41051,29057,312,295,408,390,27590,27289,534,28523,1,11,4,355,23,27289,81739.70557,75226,27772,90,89,9505,105,20,0,1,2,78,4
"41052, Jonesville, KY",41052,180,1,1,0,0,176,175,2,178,0,0,0,1,0,175,65629.23077,57143,23699,0,0,65,0,0,0,0,0,0,0
"41059, Melbourne, KY",41059,3087,6,6,10,9,3025,3014,16,3071,1,0,0,11,1,3014,82844.00701,60209,31362,1,1,1123,5,2,0,0,0,2,1
"41063, Morning View, KY",41063,4111,10,10,9,9,4058,4046,18,4093,0,0,0,14,0,4046,67084.19305,59091,24428,2,2,1487,3,0,0,0,0,3,0
"41064, Mount Olivet, KY",41064,2187,2,2,4,3,2145,2135,21,2166,1,1,0,9,1,2135,45553.51968,35765,18179,0,0,852,5,3,0,0,0,2,0
"41071, Newport, KY",41071,21325,166,133,1704,1634,18388,18083,765,20560,21,21,29,380,80,18083,59885.66465,43803,26262,68,62,7984,162,54,1,6,5,83,13
"41073, Bellevue, KY",41073,6139,34,30,91,83,5861,5779,143,5996,2,2,2,99,8,5779,67078.08888,56210,29409,10,9,2605,31,8,1,1,1,18,2
"41074, Dayton, KY",41074,5274,16,15,33,30,5087,5035,95,5179,0,0,0,65,10,5035,54819.34726,45675,21407,7,7,1962,19,6,0,0,0,9,4
"41075, Fort Thomas, KY",41075,16051,118,108,275,259,15352,15211,250,15801,3,2,4,172,23,15211,88923.66682,67988,37865,39,37,6471,60,11,1,2,0,40,6
"41076, Newport, KY",41076,18160,235,223,556,535,17049,16960,181,17979,5,1,5,121,12,16960,77576.68031,64645,32710,76,74,7012,46,13,0,2,0,28,3
"41080, Petersburg, KY",41080,1935,11,11,3,3,1872,1858,23,1912,0,0,0,15,0,1858,86341.5482,69259,31027,3,3,684,3,1,0,0,0,2,0
"41083, Sanders, KY",41083,1076,0,0,12,13,1028,991,58,1018,0,0,0,35,0,991,52603.28084,52655,19435,0,0,366,15,8,0,0,0,7,0
"41085, Silver Grove, KY",41085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41086, Sparta, KY",41086,1516,0,0,38,37,1411,1371,88,1428,2,1,0,38,9,1371,62354.77917,53992,22910,0,0,529,19,6,0,0,1,12,0
"41091, Union, KY",41091,18015,738,719,206,196,16680,16487,321,17694,5,3,2,221,34,16487,114743.4259,100218,39216,213,213,5820,79,10,1,0,1,61,6
"41092, Verona, KY",41092,2885,11,10,8,7,2817,2792,45,2840,0,0,0,30,5,2792,76266.7289,62000,26621,2,2,991,7,0,0,0,0,6,1
"41094, Walton, KY",41094,12673,151,144,140,131,12057,11916,280,12393,4,2,1,161,14,11916,85570.2205,74058,30456,53,53,4349,62,16,0,0,0,43,3
