Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"01431, Ashby, MA",01431,"3,047",25,31,15,15,"2,934","2,875",60,"2,987",3,3,0,37,10,"2,875","95,579.85 ","84,971.00 ","34,413.00 ",6,6,"1,068",15,2,0,0,0,10,3
"01432, Ayer, MA",01432,"7,442",405,407,454,452,"6,124","5,853",422,"7,020",14,4,9,240,47,"5,853","95,885.07 ","70,419.00 ","40,251.00 ",140,138,"2,644",130,35,4,2,1,80,8
"01450, Groton, MA",01450,"10,090",374,390,65,66,"9,429","9,235",208,"9,882",2,0,1,165,17,"9,235","148,814.19 ","129,662.00 ","52,647.00 ",93,93,"3,376",39,6,1,0,0,31,1
"01460, Littleton, MA",01460,"9,385",448,463,78,72,"8,614","8,469",160,"9,225",9,4,2,116,15,"8,469","130,223.97 ","113,847.00 ","48,811.00 ",127,127,"3,258",31,5,0,0,1,23,2
"01463, Pepperell, MA",01463,"12,313",241,256,103,98,"11,656","11,425",271,"12,042",12,6,3,188,23,"11,425","115,353.70 ","96,775.00 ","41,926.00 ",68,68,"4,293",65,14,1,0,2,46,2
"01464, Shirley, MA",01464,"7,747",276,273,660,650,"6,549","6,023",622,"7,125",6,4,2,532,21,"6,023","90,144.54 ","80,814.00 ","31,322.00 ",91,91,"2,277",46,9,0,0,3,32,2
"01469, Townsend, MA",01469,"7,265",117,125,65,68,"6,914","6,767",156,"7,109",2,1,1,121,11,"6,767","106,089.83 ","92,956.00 ","38,469.00 ",32,32,"2,551",32,4,0,0,0,27,1
"01474, West Townsend, MA",01474,"2,398",25,27,20,21,"2,296","2,254",46,"2,352",1,0,1,31,6,"2,254","102,424.98 ","88,652.00 ","37,173.00 ",6,6,851,15,3,0,0,0,12,0
"01701, Framingham, MA",01701,"32,354","2,447","2,481","1,411","1,371","26,460","25,279","1,771","30,583",67,17,14,"1,077",137,"25,279","114,100.64 ","100,015.00 ","44,728.00 ",829,826,"10,639",484,129,14,3,2,307,29
"01702, Framingham, MA",01702,"37,390","2,640","2,467","3,193","2,528","23,102","19,281","7,991","29,399",542,100,53,"4,313",542,"19,281","83,523.96 ","62,903.00 ","33,282.00 ","1,065","1,057","9,179","2,413",763,184,8,23,"1,267",168
"01718, Village Of Nagog Woods, MA",01718,2,1,1,0,0,1,1,0,2,0,0,0,0,0,1,"86,400.00 ","87,500.00 ","43,200.00 ",0,0,1,0,0,0,0,0,0,0
"01719, Boxborough, MA",01719,"5,019",891,905,31,32,"3,949","3,839",121,"4,898",0,1,1,92,11,"3,839","154,455.76 ","119,344.00 ","59,850.00 ",289,289,"1,607",40,2,0,0,0,35,3
"01720, Acton, MA",01720,"22,062","4,351","4,404",320,314,"16,680","16,143",632,"21,430",10,5,5,468,48,"16,143","150,551.32 ","124,524.00 ","56,294.00 ","1,331","1,330","6,557",175,30,2,1,2,130,10
"01721, Ashland, MA",01721,"16,829","1,654","1,688",486,469,"13,875","13,277",826,"16,003",28,7,6,534,69,"13,277","128,557.13 ","106,233.00 ","49,364.00 ",507,506,"5,544",228,49,5,1,3,157,13
"01730, Bedford, MA",01730,"13,230","1,399","1,429",334,322,"11,141","10,815",369,"12,861",19,2,4,279,30,"10,815","140,033.61 ","118,351.00 ","55,627.00 ",455,454,"4,454",105,10,2,1,1,85,6
"01731, Hanscom Afb, MA",01731,"1,709",92,87,180,157,"1,283","1,143",220,"1,489",20,3,3,147,19,"1,143","116,369.46 ","90,230.00 ","34,971.00 ",25,24,395,47,7,2,1,1,31,5
"01741, Carlisle, MA",01741,"4,287",389,396,29,23,"3,744","3,659",103,"4,184",6,0,1,75,9,"3,659","213,188.86 ","169,048.00 ","74,810.00 ",117,116,"1,361",28,4,1,1,0,20,2
"01742, Concord, MA",01742,"17,250",854,854,729,702,"15,210","14,702",691,"16,559",27,6,1,507,37,"14,702","188,568.04 ","144,680.00 ","69,941.00 ",270,269,"5,906",70,8,2,1,1,54,4
"01746, Holliston, MA",01746,"13,688",465,476,159,162,"12,753","12,499",293,"13,395",3,1,6,221,17,"12,499","134,519.36 ","118,773.00 ","49,040.00 ",145,144,"4,708",73,14,1,1,1,52,4
"01748, Hopkinton, MA",01748,"16,085",853,879,196,197,"14,697","14,386",343,"15,742",5,3,1,270,27,"14,386","166,939.31 ","136,957.00 ","56,026.00 ",237,237,"5,007",83,8,1,0,1,69,4
"01749, Hudson, MA",01749,"19,701",617,648,358,364,"17,836","17,140",868,"18,833",14,16,5,603,68,"17,140","100,736.08 ","83,309.00 ","39,520.00 ",213,210,"7,105",235,42,6,3,3,166,15
