Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"46301, Beverly Shores, IN",46301,1382,32,39,17,21,1289,1220,79,1303,0,3,1,53,7,1220,88333.71375,68421,34942,8,8,514,18,4,0,0,0,13,1
"46303, Cedar Lake, IN",46303,13780,70,92,93,124,13050,12370,912,12868,3,4,3,543,92,12370,78101.92907,67661,28401,14,13,4837,215,63,0,1,1,133,17
"46304, Chesterton, IN",46304,23195,374,454,305,357,21792,20439,1550,21645,14,15,5,1129,95,20439,92235.92979,74038,35495,97,96,8471,380,87,2,1,2,269,19
"46307, Crown Point, IN",46307,60606,1148,1215,3028,3155,53665,49519,5722,54884,82,42,13,3791,514,49519,90238.0185,76558,33956,332,331,20133,1412,337,14,1,13,965,82
"46310, Demotte, IN",46310,12892,62,58,30,30,12374,11839,833,12059,3,9,10,513,36,11839,74680.69983,68246,27990,11,9,4624,166,57,0,2,2,102,3
"46311, Dyer, IN",46311,20551,624,672,491,516,18457,16949,2044,18507,12,9,1,1395,149,16949,103302.7965,89688,38246,208,208,6955,507,124,1,0,3,360,19
"46312, East Chicago, IN",46312,29740,50,21,13064,10743,10221,2135,16549,13191,856,146,26,9594,764,2135,44256.58582,31816,16198,15,10,3856,5004,1544,128,5,40,3088,199
"46319, Griffith, IN",46319,18259,177,164,3016,2903,13780,12125,2681,15578,84,6,11,1691,242,12125,75088.66266,62510,29434,48,46,5541,704,185,15,2,1,456,45
"46320, Hammond, IN",46320,15285,51,44,7174,6577,5617,3414,4942,10343,186,42,4,2636,299,3414,43545.15921,31959,17030,22,21,2361,1296,460,30,1,12,722,71
"46321, Munster, IN",46321,23628,1558,1579,889,890,19909,18079,2668,20960,16,15,9,1775,175,18079,99421.09632,81288,38611,472,469,7972,670,178,3,3,5,456,25
"46322, Highland, IN",46322,23891,423,415,1079,1044,20938,18606,3412,20479,37,21,8,2330,244,18606,78407.47463,68479,32695,140,138,8911,966,237,3,2,10,659,55
"46323, Hammond, IN",46323,21950,498,419,4036,3438,13916,10499,7125,14825,182,56,28,3940,460,10499,60147.7031,51892,22734,132,125,5650,1866,662,33,7,16,1056,92
"46324, Hammond, IN",46324,23934,259,221,5723,4981,14005,10479,7740,16194,249,71,16,4092,542,10479,58823.97254,48145,22084,63,59,5957,1974,732,41,4,21,1086,90
"46327, Hammond, IN",46327,11945,42,19,1194,566,7769,3942,7266,4679,123,46,6,4482,339,3942,45872.77242,35894,15701,11,10,2917,1804,536,16,1,11,1160,80
"46341, Hebron, IN",46341,10754,59,81,91,120,10376,9816,610,10144,4,6,1,468,54,9816,77059.52427,68790,28811,18,17,3909,139,27,0,1,3,103,5
"46342, Hobart, IN",46342,30287,252,231,1839,1688,25760,22699,5063,25224,100,32,14,3138,429,22699,69096.81965,60566,27192,73,69,10466,1364,400,16,4,16,837,91
"46347, Kouts, IN",46347,4935,23,33,10,14,4836,4629,209,4726,1,2,1,174,14,4629,77603.71364,70382,27686,4,3,1742,44,5,0,1,0,38,0
"46349, Lake Village, IN",46349,3659,10,15,19,26,3530,3401,169,3490,1,3,0,99,16,3401,65881.05512,58233,25466,1,1,1370,41,9,0,0,1,29,2
"46356, Lowell, IN",46356,17050,69,92,96,130,16320,15466,1042,16008,2,8,2,705,92,15466,79056.3668,69522,28902,13,12,6020,237,59,0,1,3,163,11
"46368, Portage, IN",46368,39924,470,442,2944,2753,33729,29344,6725,33199,123,57,17,4481,398,29344,71788.71748,59484,27631,111,98,12971,1753,516,45,13,20,1085,74
"46373, Saint John, IN",46373,14508,202,229,231,254,13437,12427,1376,13132,13,2,6,908,85,12427,108603.812,99693,37305,51,49,4714,340,96,1,2,1,229,11
"46375, Schererville, IN",46375,23451,761,784,1114,1144,20402,18560,2567,20884,16,6,9,1748,189,18560,95131.85156,81799,38569,240,239,8548,710,173,3,1,3,502,28
"46376, Schneider, IN",46376,343,2,2,3,3,327,313,17,326,0,1,0,13,1,313,66619.93939,61429,25638,1,1,129,4,0,0,0,0,4,0
"46377, Shelby, IN",46377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46379, Sumava Resorts, IN",46379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46381, Thayer, IN",46381,344,0,0,1,1,328,312,21,323,0,0,0,14,1,312,77424.85075,68519,30160,0,0,131,5,1,0,0,0,4,0
"46383, Valparaiso, IN",46383,39212,746,853,1099,1234,35949,33691,2719,36493,25,45,4,1894,165,33691,77545.87747,66106,31147,241,240,14126,622,160,8,1,12,409,32
"46385, Valparaiso, IN",46385,40407,730,865,767,864,37647,35139,2869,37538,45,18,7,2114,190,35139,93287.70686,77334,34068,212,209,13833,681,166,9,3,7,467,29
"46392, Wheatfield, IN",46392,8483,26,26,51,52,8175,7814,489,7994,2,2,1,352,20,7814,80236.54585,71025,28544,4,4,2943,82,25,0,0,0,54,3
"46393, Wheeler, IN",46393,646,9,11,8,6,610,559,55,591,3,0,0,46,1,559,76076.96244,68750,25084,2,2,203,13,2,0,0,0,11,0
"46394, Whiting, IN",46394,12096,99,48,460,214,9414,6679,5025,7071,62,32,9,3072,231,6679,62366.91011,50134,25143,29,25,4081,1421,449,8,4,10,896,54
"46402, Gary, IN",46402,6936,9,7,6328,6198,265,141,439,6497,100,4,2,154,39,141,35861.41449,21832,15258,5,5,116,136,46,21,0,2,58,9
"46403, Gary, IN",46403,12542,62,61,9482,9317,2374,2113,710,11832,151,3,1,275,92,2113,62771.61366,42220,26745,22,22,1290,244,74,28,0,0,123,19
"46404, Gary, IN",46404,17633,9,9,16712,16519,435,341,456,17177,179,2,0,108,67,341,47344.43414,33154,18958,3,3,171,115,32,30,0,1,38,14
"46405, Lake Station, IN",46405,11700,53,39,722,525,8986,7373,3500,8200,93,22,6,1776,353,7373,50408.10474,42786,18463,12,10,3444,943,368,15,2,6,478,74
"46406, Gary, IN",46406,9326,24,22,6023,5863,2519,1997,1252,8074,79,14,2,605,109,1997,45368.66327,37853,17163,5,5,995,378,138,14,0,7,198,21
"46407, Gary, IN",46407,11622,6,6,11188,11069,180,148,225,11397,111,2,0,40,32,148,41286.41956,27237,17431,3,3,70,54,14,26,0,0,11,3
"46408, Gary, IN",46408,17104,78,72,10107,9868,5812,5052,1693,15411,186,20,6,815,196,5052,57977.45389,43185,21640,21,19,2436,465,153,31,2,10,249,20
"46409, Gary, IN",46409,8301,15,13,7258,7146,641,477,518,7783,86,3,2,190,79,477,47255.60064,37690,16215,6,5,307,142,50,11,1,2,69,9
"46410, Merrillville, IN",46410,38646,565,545,17631,17068,17270,14656,5402,33244,342,24,13,2855,542,14656,68487.16649,59260,27212,191,187,7787,1482,479,59,4,10,833,97
"47922, Brook, IN",47922,1741,5,8,4,5,1634,1575,119,1622,1,0,0,42,3,1575,67738.39678,57566,27386,1,1,664,28,13,1,0,0,14,0
