Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"75001, Addison, TX",75001,"11,086",920,970,"1,352","1,388","7,397","5,371","3,039","8,047",42,12,4,"1,876",244,"86,090.28 ","66,115.00 ","48,877.00 ",499,"4,513","1,141",291,13,2,5,739,91,497
"75002, Allen, TX",75002,"69,471","6,858","6,939","6,972","6,935","50,806","44,590","8,758","60,713",163,103,45,"5,923",548,"120,427.28 ","101,187.00 ","39,325.00 ","1,902","17,457","2,103",573,42,14,28,"1,346",100,"1,888"
"75006, Carrollton, TX",75006,"47,314","3,982","3,814","3,933","3,597","30,287","16,278","22,587","24,727",247,246,74,"14,218",891,"85,128.14 ","65,120.00 ","30,942.00 ","1,267","11,853","5,742","1,705",56,13,60,"3,679",229,"1,254"
"75007, Carrollton, TX",75007,"54,941","8,412","8,439","4,954","4,857","34,936","27,466","12,159","42,782",131,120,31,"7,363",562,"107,697.85 ","88,829.00 ","38,798.00 ","2,354","13,777","3,196",991,31,7,21,"1,985",161,"2,347"
"75009, Celina, TX",75009,"8,752",64,60,323,333,"7,639","6,454","1,668","7,084",6,34,7,"1,154",62,"119,681.19 ","104,545.00 ","37,878.00 ",11,"2,461",360,98,3,1,9,238,11,10
"75010, Carrollton, TX",75010,"24,176","6,315","6,379","2,850","2,813","13,298","11,194","2,990","21,186",70,18,12,"1,986",163,"106,110.77 ","86,094.00 ","41,062.00 ","1,775","5,795",913,237,12,3,5,608,48,"1,772"
"75013, Allen, TX",75013,"33,509","6,890","6,986","2,009","1,990","22,911","20,979","2,486","31,023",57,15,36,"1,742",209,"159,576.97 ","141,321.00 ","53,019.00 ","1,990","7,971",677,167,15,11,4,453,27,"1,979"
"75019, Coppell, TX",75019,"41,172","7,012","7,533","2,082","2,194","29,594","25,298","4,953","36,219",45,55,19,"3,514",287,"142,549.77 ","119,352.00 ","50,707.00 ","2,102","11,023","1,397",308,10,3,13,"1,011",52,"2,099"
"75022, Flower Mound, TX",75022,"25,107","3,128","3,334",709,736,"20,284","18,611","1,772","23,335",20,14,4,"1,374",99,"175,582.11 ","152,304.00 ","54,344.00 ",816,"6,477",400,53,2,3,1,324,17,813
"75023, Plano, TX",75023,"50,981","5,804","5,814","4,584","4,516","37,106","32,439","6,704","44,277",113,69,49,"4,548",419,"100,363.72 ","83,594.00 ","39,051.00 ","1,924","15,277","1,835",467,35,21,17,"1,190",105,"1,903"
"75024, Plano, TX",75024,"38,822","11,712","11,769","3,057","3,034","22,098","19,708","2,945","35,877",45,22,28,"2,274",182,"125,130.23 ","99,545.00 ","53,516.00 ","3,982","10,396","1,127",208,20,8,4,843,44,"3,974"
"75025, Plano, TX",75025,"56,462","16,217","16,346","4,078","4,050","33,347","30,027","4,188","52,274",72,34,47,"3,080",331,"136,718.11 ","113,485.00 ","48,547.00 ","4,786","12,893","1,199",226,22,9,9,854,79,"4,777"
"75028, Flower Mound, TX",75028,"46,220","3,688","3,996","1,865","1,969","38,450","34,846","3,955","42,265",55,55,14,"3,005",213,"137,447.12 ","122,756.00 ","45,937.00 ",955,"13,340",958,129,7,3,14,776,29,952
"75032, Rockwall, TX",75032,"29,773",690,793,"1,457","1,697","25,039","20,920","5,660","24,113",51,63,33,"3,572",337,"123,866.65 ","98,739.00 ","41,323.00 ",199,"8,578","1,390",399,27,23,18,846,77,176
"75034, Frisco, TX",75034,"49,408","4,720","4,786","4,162","4,121","36,242","31,166","7,639","41,769",125,93,31,"4,861",386,"141,013.22 ","113,504.00 ","51,785.00 ","1,440","14,011","2,036",578,44,15,23,"1,291",85,"1,425"
"75035, Frisco, TX",75035,"51,086","7,134","7,187","4,941","4,889","35,867","31,552","5,638","45,448",125,32,54,"4,107",425,"126,566.71 ","112,303.00 ","42,703.00 ","2,034","12,769","1,493",292,27,12,4,"1,102",56,"2,022"
"75038, Irving, TX",75038,"32,047","8,177","8,084","8,709","8,434","11,069","6,540","7,980","24,067",205,111,26,"4,674",450,"73,300.82 ","51,920.00 ","32,688.00 ","3,207","5,448","2,875",932,63,11,41,"1,710",118,"3,196"
"75039, Irving, TX",75039,"11,280","3,372","3,503","1,317","1,341","5,742","4,568","1,453","9,827",31,6,13,958,53,"126,116.84 ","82,650.00 ","73,699.00 ","1,550","3,722",775,217,11,3,3,513,28,"1,547"
"75040, Garland, TX",75040,"62,056","6,562","6,326","9,546","9,025","34,795","18,437","26,943","35,113",304,272,83,"16,760","1,279","74,514.05 ","63,516.00 ","22,974.00 ","1,728","11,647","6,023","1,821",49,13,58,"3,785",297,"1,715"
"75041, Garland, TX",75041,"32,421",615,534,"3,206","2,719","20,458","9,475","19,030","13,391",136,201,12,"11,488","1,087","62,491.04 ","50,830.00 ","19,609.00 ",167,"6,881","4,375","1,411",22,2,42,"2,624",274,165
"75042, Garland, TX",75042,"39,906","5,290","4,857","4,796","4,284","19,741","8,847","21,093","18,813",195,254,73,"11,631","1,081","56,714.67 ","46,244.00 ","17,342.00 ","1,623","6,620","4,838","1,841",37,15,52,"2,642",251,"1,608"
"75043, Garland, TX",75043,"59,832","3,864","3,906","13,381","13,492","34,505","23,449","17,510","42,322",243,232,60,"10,560","1,001","75,162.63 ","63,687.00 ","27,413.00 ","1,125","13,848","4,438","1,391",49,15,58,"2,705",220,"1,110"
"75044, Garland, TX",75044,"43,990","7,937","8,194","6,032","6,143","25,570","19,788","8,594","35,396",115,93,45,"5,207",553,"92,518.52 ","74,952.00 ","34,588.00 ","2,439","10,510","2,305",685,20,17,24,"1,422",137,"2,422"
"75048, Sachse, TX",75048,"20,314","2,385","2,606","1,955","2,118","14,321","11,930","3,045","17,269",34,46,22,"1,894",271,"107,026.52 ","95,755.00 ","35,169.00 ",626,"5,041",747,210,6,3,9,475,44,623
"75050, Grand Prairie, TX",75050,"42,664","1,253","1,158","5,979","5,473","25,814","12,851","22,157","20,507",209,187,32,"13,379",820,"65,278.21 ","51,707.00 ","24,056.00 ",457,"9,786","5,910","2,043",36,6,45,"3,567",213,451
"75051, Grand Prairie, TX",75051,"42,155","1,313","1,115","6,715","5,643","23,436","8,864","25,685","16,470",321,274,49,"15,586","1,073","55,923.68 ","43,900.00 ","17,649.00 ",373,"7,728","6,351","2,070",53,6,70,"3,901",251,367
"75052, Grand Prairie, TX",75052,"92,663","9,703","9,421","24,843","23,967","43,778","24,649","32,391","60,272",593,333,170,"19,551","1,514","89,859.46 ","75,238.00 ","29,007.00 ","2,577","15,205","8,161","2,598",117,16,86,"5,045",299,"2,561"
"75054, Grand Prairie, TX",75054,"6,618",775,784,"1,948","1,993","3,233","2,344","1,283","5,335",24,8,18,785,105,"117,718.05 ","105,451.00 ","35,860.00 ",208,"1,051",304,85,5,3,1,192,18,205
"75056, The Colony, TX",75056,"53,688","5,783","5,875","4,440","4,439","37,669","30,380","10,731","42,957",110,141,52,"6,981",445,"113,906.05 ","91,220.00 ","40,192.00 ","1,658","14,155","2,660",682,23,13,30,"1,786",126,"1,645"
"75057, Lewisville, TX",75057,"14,303",466,435,"1,495","1,379","9,656","5,741","6,139","8,164",51,67,11,"4,028",249,"65,485.66 ","55,196.00 ","24,608.00 ",181,"3,879","1,459",395,11,2,13,971,67,179
"75060, Irving, TX",75060,"48,469","2,874","2,543","3,089","2,630","30,649","14,102","28,024","20,445",184,382,64,"17,212","1,333","65,166.64 ","52,207.00 ","20,196.00 ",842,"10,216","6,732","2,163",40,15,75,"4,138",301,827
"75061, Irving, TX",75061,"53,296","1,750","1,408","4,910","3,842","30,877","12,216","34,848","18,448",331,330,72,"19,857","1,532","58,104.60 ","43,438.00 ","19,468.00 ",570,"10,672","9,143","3,469",66,13,71,"5,106",418,557
"75062, Irving, TX",75062,"46,205","4,064","3,910","5,784","5,368","26,721","15,111","20,544","25,661",285,202,59,"11,867","1,060","72,426.11 ","53,486.00 ","25,976.00 ","1,345","10,255","5,476","1,931",65,10,51,"3,152",267,"1,335"
"75063, Irving, TX",75063,"37,055","13,645","13,908","5,661","5,684","15,228","11,633","4,615","32,440",101,34,41,"3,141",319,"106,477.56 ","77,043.00 ","47,456.00 ","4,688","7,975","1,842",416,36,14,17,"1,241",118,"4,674"
"75065, Lake Dallas, TX",75065,"11,166",239,265,534,585,"9,421","7,999","1,881","9,285",11,34,2,"1,286",63,"99,341.53 ","82,470.00 ","35,956.00 ",68,"3,557",444,101,0,1,7,317,18,67
