Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"80002, Arvada, CO",80002,"17,640",318,365,176,164,"15,258","12,646","3,850","13,790",38,151,12,"2,428",315,"12,646","77,851.68 ","56,714.00 ","34,711.00 ",127,123,"7,011","1,229",293,10,56,790,76
"80003, Arvada, CO",80003,"36,396","1,360","1,498",564,587,"30,510","24,532","8,562","27,834",53,256,56,"5,550",813,"24,532","75,874.00 ","63,357.00 ","29,931.00 ",400,387,"12,583","2,403",530,13,65,"1,610",172
"80004, Arvada, CO",80004,"36,789",553,702,322,397,"33,727","30,090","4,345","32,444",32,122,41,"3,001",401,"30,090","87,103.15 ","72,245.00 ","35,552.00 ",180,176,"14,033","1,230",218,7,38,883,80
"80005, Arvada, CO",80005,"26,216",516,714,149,200,"24,284","22,099","2,383","23,833",8,52,13,"1,673",239,"22,099","106,672.18 ","92,419.00 ","42,136.00 ",181,178,"9,825",684,103,3,13,521,41
"80007, Arvada, CO",80007,"7,821",146,180,22,28,"7,437","7,014",425,"7,396",0,0,3,344,29,"7,014","157,269.20 ","137,987.00 ","55,634.00 ",44,44,"2,669",102,12,0,0,86,4
"80010, Aurora, CO",80010,"41,753","1,750","1,469","6,762","5,569","20,782","8,783","24,786","16,967",447,529,85,"13,094","1,649","8,783","44,366.56 ","34,817.00 ","15,003.00 ",537,506,"7,116","5,854","2,292",109,115,"2,904",403
"80011, Aurora, CO",80011,"51,286","2,321","2,070","9,975","8,866","27,056","15,106","23,671","27,615",528,455,115,"12,770","1,578","15,106","56,592.58 ","46,965.00 ","19,503.00 ",729,689,"9,905","5,541","2,138",132,105,"2,809",317
"80012, Aurora, CO",80012,"48,509","2,720","2,478","11,883","10,849","24,385","17,084","16,337","32,172",472,371,114,"8,082","1,331","17,084","57,938.54 ","45,396.00 ","22,504.00 ",922,877,"10,155","4,348","1,768",127,87,"2,027",294
"80013, Aurora, CO",80013,"73,938","5,434","5,319","10,651","10,037","48,994","41,242","13,872","60,066",574,319,94,"7,826","1,448","41,242","90,464.53 ","78,077.00 ","32,097.00 ","1,620","1,596","18,747","3,488","1,058",125,89,"1,972",220
"80014, Aurora, CO",80014,"40,278","2,624","2,607","5,875","5,680","27,605","24,197","6,108","34,170",231,108,34,"3,344",613,"24,197","67,591.27 ","50,028.00 ","32,312.00 ",981,962,"14,143","1,912",606,61,38,"1,051",137
"80015, Aurora, CO",80015,"67,357","5,287","5,333","6,075","5,940","50,057","44,352","8,567","58,790",286,135,89,"5,339","1,050","44,352","104,606.36 ","90,292.00 ","35,558.00 ","1,554","1,536","17,998","2,095",498,61,32,"1,351",135
"80016, Aurora, CO",80016,"43,865","4,722","4,858","2,695","2,691","33,789","31,002","3,676","40,189",106,45,47,"2,440",449,"31,002","139,212.03 ","112,679.00 ","49,092.00 ","1,357","1,350","12,564",963,211,16,14,658,57
"80017, Aurora, CO",80017,"36,124","1,791","1,648","8,367","7,731","20,006","15,221","9,797","26,327",374,208,87,"5,162",967,"15,221","69,589.42 ","59,839.00 ","26,470.00 ",613,582,"8,078","2,674",925,101,59,"1,357",201
"80018, Aurora, CO",80018,"9,578",568,548,"1,065","1,016","6,958","5,971","1,663","7,915",57,39,25,971,189,"5,971","107,253.59 ","97,380.00 ","36,576.00 ",156,151,"2,448",380,100,8,8,243,16
"80019, Aurora, CO",80019,"1,151",75,74,256,256,613,434,315,836,9,1,3,166,32,434,"86,334.91 ","70,000.00 ","32,554.00 ",20,19,269,80,29,1,1,41,7
"80022, Commerce City, CO",80022,"46,716",833,874,"1,563","1,521","32,429","18,176","24,990","21,726",204,607,52,"13,876","1,743","18,176","72,051.34 ","62,264.00 ","22,727.00 ",216,205,"10,798","5,840","2,011",24,158,"3,252",384
"80024, Dupont, CO",80024,871,50,49,236,230,448,333,209,662,8,4,2,111,26,333,"83,223.96 ","65,278.00 ","33,920.00 ",14,13,214,64,18,2,2,34,7
"80030, Westminster, CO",80030,"15,713",958,"1,063",234,207,"11,623","7,131","6,937","8,776",54,202,33,"4,278",416,"7,131","55,840.18 ","48,936.00 ","21,546.00 ",274,267,"4,752","1,887",514,10,59,"1,189",108
"80031, Westminster, CO",80031,"36,709","2,407","2,910",536,596,"29,496","23,169","8,998","27,711",53,195,47,"5,468",708,"23,169","89,344.49 ","75,342.00 ","34,476.00 ",675,664,"12,115","2,427",668,9,45,"1,529",165
"80033, Wheat Ridge, CO",80033,"25,100",409,456,300,311,"21,668","18,064","5,391","19,709",34,138,19,"3,367",516,"18,064","72,612.76 ","54,133.00 ","34,112.00 ",169,163,"10,466","1,767",435,5,42,"1,145",134
"80045, Aurora, CO",80045,647,69,72,69,73,416,314,169,478,1,2,2,91,9,314,"40,931.11 ","30,714.00 ","19,841.00 ",39,38,152,44,13,0,0,24,6
"80101, Agate, CO",80101,390,2,2,1,1,375,355,24,366,0,0,0,19,1,355,"64,554.51 ","50,833.00 ","27,477.00 ",1,1,160,8,2,0,0,6,0
"80102, Bennett, CO",80102,"5,827",61,100,67,97,"5,309","4,804",611,"5,216",10,20,2,335,75,"4,804","83,012.02 ","71,531.00 ","29,717.00 ",15,15,"1,941",146,46,1,3,85,11
"80103, Byers, CO",80103,"1,962",9,12,21,25,"1,783","1,676",178,"1,784",2,9,0,82,26,"1,676","72,551.02 ","65,969.00 ","26,957.00 ",3,3,681,38,13,0,2,19,4
"80104, Castle Rock, CO",80104,"29,635",501,546,313,303,"27,197","25,089","2,958","26,677",39,46,8,"1,955",190,"25,089","104,651.33 ","89,209.00 ","37,621.00 ",128,123,"10,022",626,168,10,17,393,33
"80105, Deer Trail, CO",80105,"1,193",11,14,8,8,"1,126","1,080",58,"1,135",2,2,0,34,3,"1,080","63,551.10 ","54,545.00 ","25,250.00 ",2,2,454,12,4,1,1,6,0
"80107, Elizabeth, CO",80107,"12,573",112,117,66,71,"11,923","11,338",721,"11,852",2,25,7,532,40,"11,338","103,723.08 ","89,731.00 ","37,093.00 ",34,31,"4,316",175,30,0,8,125,9
"80108, Castle Rock, CO",80108,"24,700",858,898,359,352,"22,569","21,208","1,742","22,958",29,26,16,"1,251",107,"21,208","170,219.29 ","134,645.00 ","60,003.00 ",233,228,"8,102",377,82,2,6,262,20
"80109, Castle Rock, CO",80109,"18,416",394,421,189,181,"16,972","15,718","1,595","16,821",25,27,13,"1,149",124,"15,718","124,024.47 ","115,335.00 ","40,881.00 ",86,82,"5,713",330,66,5,5,231,19
"80110, Englewood, CO",80110,"23,246",546,481,663,543,"18,543","14,994","6,470","16,776",80,198,30,"3,679",479,"14,994","60,244.43 ","46,054.00 ","26,076.00 ",187,177,"8,365","1,955",680,24,65,"1,063",113
"80111, Englewood, CO",80111,"29,685","2,922","3,024",635,620,"24,742","23,202","2,018","27,667",39,25,15,"1,367",160,"23,202","135,851.73 ","104,946.00 ","54,911.00 ","1,003",998,"10,252",633,140,11,10,435,32
"80112, Englewood, CO",80112,"31,636","1,635","1,709","1,276","1,259","27,016","24,968","2,687","28,949",81,40,13,"1,844",255,"24,968","111,578.52 ","89,027.00 ","47,124.00 ",615,613,"11,654",787,154,17,12,555,47
"80113, Englewood, CO",80113,"20,474",501,514,470,482,"18,039","16,556","2,228","18,246",31,111,33,"1,331",254,"16,556","113,588.41 ","63,622.00 ","53,175.00 ",185,176,"8,612",785,199,7,38,469,63
"80116, Franktown, CO",80116,"4,237",45,53,23,29,"4,034","3,832",233,"4,004",0,5,3,166,13,"3,832","118,370.13 ","106,502.00 ","43,582.00 ",8,8,"1,507",46,12,0,0,33,1
"80117, Kiowa, CO",80117,"2,466",20,23,12,13,"2,353","2,259",112,"2,354",1,1,0,82,4,"2,259","97,316.17 ","75,180.00 ","37,129.00 ",4,4,905,26,7,0,0,18,1
