Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"77002, Houston, TX",77002,"6,917",263,273,"1,983","2,060","4,030","2,799","1,549","5,368",32,8,5,"1,094",56,"114,201.59 ","71,759.00 ","50,318.00 ",142,"1,835",348,66,8,1,2,252,19,141
"77003, Houston, TX",77003,"11,124",320,308,"2,845","2,786","5,861","2,000","5,817","5,307",81,44,14,"3,836",289,"77,108.88 ","37,906.00 ","34,292.00 ",151,"2,390","1,824",476,19,4,12,"1,225",88,147
"77004, Houston, TX",77004,"34,280","2,160","2,165","20,415","20,556","9,448","6,424","4,460","29,820",234,68,35,"2,596",297,"74,538.68 ","44,696.00 ","31,547.00 ",695,"3,753","1,317",354,83,12,14,754,100,683
"77005, Houston, TX",77005,"26,389","3,157","3,353",450,455,"21,868","19,670","2,206","24,183",25,6,27,"1,898",76,"237,733.74 ","177,519.00 ","88,036.00 ",823,"8,575",622,51,3,5,3,544,16,818
"77006, Houston, TX",77006,"21,332","1,338","1,726","1,036","1,277","17,256","13,710","4,003","17,329",60,72,18,"2,694",224,"104,849.39 ","74,250.00 ","64,278.00 ",748,"10,733","1,909",369,18,6,24,"1,380",112,742
"77007, Houston, TX",77007,"32,339","2,041","2,546","1,909","2,320","24,972","16,796","9,816","22,523",87,91,41,"6,947",472,"131,167.70 ","99,736.00 ","68,448.00 ","1,037","13,497","3,689",785,30,16,31,"2,679",148,"1,021"
"77008, Houston, TX",77008,"32,652",977,"1,362","1,827","2,519","25,911","17,269","10,656","21,996",95,208,41,"7,164",495,"104,029.51 ","77,538.00 ","50,839.00 ",440,"13,122","3,824",903,26,11,54,"2,680",150,429
"77009, Houston, TX",77009,"40,556",397,335,"3,097","2,783","27,250","8,399","28,590","11,966",244,337,54,"18,939","1,181","75,692.82 ","45,648.00 ","28,180.00 ",143,"10,564","8,729","2,316",53,13,92,"5,869",386,130
"77010, Houston, TX",77010,"1,208",37,37,346,352,599,333,402,806,8,1,1,248,11,"116,748.55 ","63,462.00 ","49,148.00 ",14,190,50,11,1,0,0,36,2,14
"77011, Houston, TX",77011,"21,012",86,22,498,156,"14,335",554,"20,157",855,154,228,37,"14,146",751,"41,088.11 ","30,854.00 ","12,909.00 ",22,"4,347","6,089","1,447",40,10,68,"4,273",251,12
"77012, Houston, TX",77012,"20,560",298,157,602,250,"13,755",501,"19,541","1,019",176,179,31,"13,619",877,"44,562.62 ","34,679.00 ","13,424.00 ",102,"3,930","5,601","1,334",50,9,58,"3,882",268,93
"77013, Houston, TX",77013,"16,181",111,58,"3,420","2,975","8,707","1,389","11,619","4,562",155,338,47,"7,628",565,"52,971.56 ","43,510.00 ","16,114.00 ",39,"2,544","3,097",777,31,7,86,"2,046",150,32
"77014, Houston, TX",77014,"30,936","3,477","3,327","14,121","13,428","8,132","2,242","11,570","19,366",371,160,71,"6,299",786,"66,295.72 ","51,502.00 ","21,555.00 ",941,"2,702","3,057","1,042",95,17,31,"1,662",210,924
"77015, Houston, TX",77015,"58,183","1,053",963,"9,959","9,215","33,911","8,992","38,320","19,863",462,637,60,"25,251","1,750","63,025.53 ","50,704.00 ","19,217.00 ",334,"10,221","9,553","2,599",104,12,139,"6,216",483,322
"77016, Houston, TX",77016,"29,500",57,15,"20,908","20,195","4,340",562,"8,601","20,899",367,174,42,"4,126",471,"49,090.49 ","38,553.00 ","16,791.00 ",15,"1,117","2,000",775,73,9,32,993,118,6
"77017, Houston, TX",77017,"35,392","1,580","1,239","1,235",866,"23,572","3,133","29,866","5,526",151,277,28,"21,042","1,072","53,571.70 ","42,456.00 ","16,008.00 ",543,"6,902","7,806","1,916",40,7,62,"5,448",333,536
"77018, Houston, TX",77018,"25,803",385,456,"2,617","3,173","19,546","12,530","9,170","16,633",112,137,25,"6,152",426,"94,976.60 ","67,849.00 ","39,898.00 ",143,"8,466","2,692",662,22,2,31,"1,855",120,141
"77019, Houston, TX",77019,"21,568","1,318","1,525","1,951","2,217","17,112","14,071","3,248","18,320",60,17,18,"2,415",127,"175,068.99 ","96,737.00 ","92,522.00 ",659,"9,347","1,451",248,16,8,5,"1,116",58,651
"77020, Houston, TX",77020,"29,577",171,119,"8,099","7,331","14,915","1,447","20,402","9,175",334,268,45,"13,926",777,"47,851.40 ","32,327.00 ","14,657.00 ",59,"3,892","5,438","1,386",83,8,65,"3,662",234,51
"77021, Houston, TX",77021,"28,033",401,359,"21,466","21,083","3,779","1,763","4,546","23,487",261,66,40,"2,141",337,"60,438.29 ","39,887.00 ","23,431.00 ",180,"1,419","1,118",395,67,7,13,562,74,173
"77022, Houston, TX",77022,"32,937",131,76,"6,934","6,062","16,761","1,984","24,603","8,334",280,256,48,"15,397","1,165","44,861.82 ","31,047.00 ","14,445.00 ",43,"5,011","6,593","1,944",66,7,66,"4,174",336,36
"77023, Houston, TX",77023,"31,112",371,200,901,414,"20,473","2,402","27,874","3,238",201,277,32,"18,651","1,217","55,724.35 ","42,070.00 ","17,515.00 ",132,"6,526","8,079","2,141",52,8,70,"5,427",381,124
"77024, Houston, TX",77024,"37,292","4,400","4,908",635,687,"30,596","27,038","3,853","33,439",23,30,24,"2,863",192,"193,179.83 ","120,656.00 ","80,066.00 ","1,507","13,055","1,386",262,8,9,12,"1,044",51,"1,498"
"77025, Houston, TX",77025,"29,425","4,326","4,618","4,231","4,436","18,290","13,651","5,944","23,481",111,60,37,"3,939",372,"113,591.11 ","75,167.00 ","52,197.00 ","1,844","8,488","2,091",466,33,12,19,"1,451",110,"1,832"
"77026, Houston, TX",77026,"24,769",95,48,"14,799","14,038","5,481",343,"10,287","14,482",485,140,46,"5,416",676,"38,970.74 ","25,744.00 ","13,839.00 ",19,"1,423","2,650",893,136,10,31,"1,396",184,9
"77027, Houston, TX",77027,"15,895","1,274","1,499",815,934,"13,111","11,081","2,073","13,822",26,12,7,"1,605",91,"136,788.94 ","94,800.00 ","81,571.00 ",735,"7,839","1,144",200,13,3,5,884,39,732
"77028, Houston, TX",77028,"17,872",25,11,"13,340","12,921","2,467",373,"4,453","13,419",196,50,14,"2,319",279,"47,597.18 ","38,696.00 ","15,914.00 ",8,627,"1,023",363,32,4,12,545,67,4
"77029, Houston, TX",77029,"18,252",44,26,"4,382","4,051","9,587","1,285","12,741","5,511",154,192,17,"8,486",575,"43,888.13 ","35,523.00 ","13,913.00 ",14,"2,687","3,248",868,30,3,36,"2,147",164,11
"77030, Houston, TX",77030,"9,108","1,743","1,874",527,555,"6,386","5,439",964,"8,144",12,6,6,750,53,"144,203.11 ","92,007.00 ","71,345.00 ",805,"3,133",450,65,4,3,4,358,16,802
"77031, Houston, TX",77031,"16,805","1,054","1,028","5,610","5,351","7,017","2,356","7,823","8,982",222,78,19,"4,707",479,"63,722.45 ","49,072.00 ","22,158.00 ",340,"2,449","2,231",681,66,3,19,"1,333",129,337
"77032, Houston, TX",77032,"12,482",141,121,"5,287","5,122","4,998","1,264","5,858","6,624",71,78,18,"3,832",229,"40,040.68 ","27,233.00 ","13,210.00 ",37,"1,369","1,336",393,16,4,13,843,67,33
"77033, Houston, TX",77033,"29,005",134,86,"22,070","21,227","3,726",293,"7,269","21,736",610,81,47,"3,668",372,"48,007.84 ","34,977.00 ","15,819.00 ",46,781,"1,522",527,121,11,20,763,80,35
"77034, Houston, TX",77034,"38,552","1,463","1,316","4,722","4,155","23,794","5,783","26,868","11,684",294,299,61,"18,397","1,239","58,843.69 ","49,187.00 ","18,938.00 ",461,"7,627","7,319","1,869",62,14,71,"4,969",334,447
"77035, Houston, TX",77035,"39,097","2,290","2,186","13,618","13,300","17,394","8,244","14,813","24,284",352,208,110,"9,109",865,"68,250.30 ","47,439.00 ","25,176.00 ",723,"6,546","3,961","1,128",96,29,45,"2,430",233,694
"77036, Houston, TX",77036,"75,767","11,297","10,394","14,464","12,798","30,741","5,997","45,838","29,929","1,030",947,385,"25,936","3,589","44,750.40 ","30,740.00 ","15,691.00 ","4,171","10,171","13,408","4,113",355,94,246,"7,487","1,113","4,077"
"77037, Houston, TX",77037,"20,908",380,200,410,160,"13,431","2,193","18,270","2,638",124,266,24,"11,587",890,"53,243.98 ","42,773.00 ","13,675.00 ",110,"3,578","4,175","1,236",24,4,52,"2,630",229,106
"77038, Houston, TX",77038,"28,489","1,788","1,577","5,968","5,179","13,378","1,668","19,851","8,638",292,367,60,"12,378",989,"54,074.63 ","43,706.00 ","14,638.00 ",490,"3,497","4,719","1,382",66,10,81,"2,915",265,480
"77039, Houston, TX",77039,"28,897",304,212,"3,203","2,481","17,154","2,364","23,596","5,301",180,301,46,"15,431","1,181","54,464.17 ","45,285.00 ","14,306.00 ",99,"4,450","5,442","1,481",22,9,54,"3,581",295,90
"77040, Houston, TX",77040,"47,333","3,576","3,538","6,469","6,221","27,871","13,600","23,366","23,967",318,462,78,"14,154","1,310","80,213.38 ","61,333.00 ","28,383.00 ","1,111","10,228","6,323","1,974",69,17,117,"3,798",348,"1,094"
"77041, Houston, TX",77041,"39,108","6,377","6,486","3,472","3,357","22,769","10,626","17,987","21,121",206,290,65,"11,860",865,"104,727.96 ","78,127.00 ","32,588.00 ","1,829","7,507","4,349","1,095",47,10,55,"2,929",213,"1,819"
"77042, Houston, TX",77042,"42,671","3,552","3,528","12,340","12,061","20,940","13,048","13,073","29,598",517,179,94,"7,565",845,"79,753.26 ","55,421.00 ","38,407.00 ","1,686","10,378","5,009","1,447",192,21,42,"3,012",295,"1,665"
"77043, Houston, TX",77043,"21,886","1,732","1,908","1,258","1,192","14,912","7,337","11,093","10,793",198,151,35,"7,193",594,"83,180.92 ","55,564.00 ","29,222.00 ",627,"5,541","2,855",716,46,4,34,"1,882",173,623
"77044, Houston, TX",77044,"33,216",767,777,"9,038","9,209","18,112","8,421","14,319","18,897",211,209,22,"9,257",844,"95,689.63 ","77,141.00 ","28,862.00 ",227,"5,601","3,404",924,47,3,37,"2,210",183,224
"77045, Houston, TX",77045,"31,355",394,264,"15,118","14,115","9,371",878,"15,954","15,401",408,260,119,"9,105",939,"60,317.28 ","48,316.00 ","17,771.00 ",135,"2,271","3,607","1,152",93,26,46,"2,061",229,109
"77046, Houston, TX",77046,434,46,53,22,26,338,271,70,364,0,0,1,54,4,"102,318.52 ","65,234.00 ","71,670.00 ",29,242,44,7,0,1,0,33,3,28
"77047, Houston, TX",77047,"23,485",641,627,"16,139","15,826","4,471","1,355","5,379","18,106",227,79,11,"3,206",369,"76,194.64 ","61,689.00 ","27,266.00 ",221,"1,517","1,399",377,53,1,18,855,95,220
"77048, Houston, TX",77048,"14,935",121,101,"12,120","11,885","1,776",352,"2,479","12,456",138,39,19,"1,523",154,"58,242.34 ","45,831.00 ","19,780.00 ",33,522,594,138,34,6,7,382,27,27
"77049, Houston, TX",77049,"29,541","1,008",937,"7,404","6,916","15,206","4,152","17,125","12,416",207,287,33,"11,389",890,"72,215.61 ","58,333.00 ","21,618.00 ",272,"4,414","4,221","1,135",33,5,64,"2,774",210,267
"77050, Houston, TX",77050,"4,307",25,13,"1,797","1,683","1,368",169,"2,430","1,877",36,17,11,"1,279",163,"61,447.71 ","51,277.00 ","18,119.00 ",4,348,567,219,6,2,3,292,45,2
