Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"90001, Los Angeles, CA",90001,"57,723",226,51,"6,000","4,833","21,695",357,"51,737","5,986",900,446,172,"21,650","2,534",357,"50,452.00 ","39,324.00 ","11,445.00 ",47,12,"4,558","10,624","5,090",207,35,112,"4,538",642
"90002, Los Angeles, CA",90002,"51,176",179,8,"13,114","11,941","15,143",313,"38,264","12,912",879,380,171,"15,139","2,088",313,"50,803.87 ","36,843.00 ","11,799.00 ",43,4,"2,767","7,052","3,501",180,39,78,"2,765",489
"90003, Los Angeles, CA",90003,"70,900",280,57,"17,913","16,278","21,786",558,"52,912","17,988","1,205",566,222,"21,688","2,948",558,"44,672.05 ","34,416.00 ","10,846.00 ",83,30,"4,183","10,164","4,861",281,53,122,"4,120",727
"90004, Los Angeles, CA",90004,"60,919","17,025","16,067","2,193","1,852","22,942","9,579","31,671","29,248",253,396,192,"14,301","2,017","9,579","71,601.08 ","43,233.00 ","26,336.00 ","6,538","6,491","9,044","9,185","3,915",80,47,103,"4,331",709
"90005, Los Angeles, CA",90005,"41,143","14,407","13,691","2,063","1,704","12,156","3,225","21,605","19,538",290,320,158,"9,595","1,403","3,225","58,489.75 ","37,530.00 ","23,165.00 ","6,607","6,555","4,642","6,379","2,697",91,52,91,"2,945",503
"90006, Los Angeles, CA",90006,"59,664","11,498","10,238","2,269","1,564","19,571","1,813","44,997","14,667",562,604,321,"18,936","2,879","1,813","43,887.42 ","32,608.00 ","14,697.00 ","5,065","4,987","5,682","11,961","5,447",140,78,143,"5,224",929
"90007, Los Angeles, CA",90007,"43,837","7,285","7,007","4,626","4,208","17,631","7,513","23,349","20,488",328,257,128,"10,396","1,545","7,513","44,193.38 ","25,707.00 ","14,013.00 ","2,264","2,237","4,449","5,849","2,527",65,27,76,"2,704",449
"90008, Los Angeles, CA",90008,"32,093",815,775,"22,522","21,878","2,864",813,"7,418","24,675",522,90,36,"2,183",512,813,"66,521.51 ","46,794.00 ","28,820.00 ",429,418,933,"1,851",929,166,11,21,568,156
"90010, Los Angeles, CA",90010,"2,626","1,110","1,082",131,114,826,441,912,"1,714",15,15,9,407,60,441,"92,435.11 ","47,326.00 ","37,828.00 ",489,486,342,284,119,3,3,4,134,21
"90011, Los Angeles, CA",90011,"104,859","1,358",879,"10,309","7,742","36,967","1,107","94,505","10,354","2,003","1,259",415,"36,534","5,129","1,107","47,164.43 ","34,313.00 ","10,416.00 ",494,392,"7,315","18,244","9,132",404,102,262,"7,098","1,246"
