Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"54002, Baldwin, WI",54002,"6,426",39,40,42,41,"6,198","6,128",107,"6,319",2,0,0,66,13,"6,128","74,783.01 ","67,217.00 ","28,799.00 ",7,7,"2,404",26,7,1,0,0,16,2
"54003, Beldenville, WI",54003,"1,023",3,3,3,3,"1,001",994,13,"1,010",0,1,0,7,1,994,"87,830.87 ","79,851.00 ","33,002.00 ",1,1,379,2,1,0,0,0,1,0
"54010, East Ellsworth, WI",54010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"54011, Ellsworth, WI",54011,"6,835",22,22,18,18,"6,641","6,595",85,"6,750",0,5,0,43,8,"6,595","78,216.75 ","68,750.00 ","31,277.00 ",4,4,"2,638",15,6,0,0,0,7,2
"54014, Hager City, WI",54014,"2,316",7,7,4,4,"2,265","2,253",20,"2,296",0,0,0,13,0,"2,253","91,865.71 ","80,392.00 ","35,828.00 ",1,1,893,4,2,0,0,0,2,0
"54015, Hammond, WI",54015,"3,994",32,30,15,13,"3,846","3,789",98,"3,896",1,1,1,61,9,"3,789","87,019.16 ","78,875.00 ","30,896.00 ",9,9,"1,368",16,5,1,0,0,9,1
"54016, Hudson, WI",54016,"31,426",396,396,177,175,"30,006","29,496",715,"30,711",4,17,6,493,59,"29,496","110,114.21 ","89,261.00 ","41,567.00 ",91,91,"11,483",167,30,3,0,4,124,6
"54021, Prescott, WI",54021,"6,401",41,39,12,12,"6,167","6,089",119,"6,282",0,0,3,72,22,"6,089","105,453.31 ","88,161.00 ","40,439.00 ",6,5,"2,399",19,5,0,1,0,12,1
"54022, River Falls, WI",54022,"21,977",329,337,175,177,"20,909","20,628",389,"21,588",2,5,0,258,54,"20,628","83,913.18 ","67,550.00 ","30,007.00 ",67,67,"7,443",77,13,0,0,2,53,9
"54023, Roberts, WI",54023,"3,853",51,50,35,34,"3,682","3,641",67,"3,786",0,0,0,44,10,"3,641","87,813.94 ","78,311.00 ","31,407.00 ",8,8,"1,346",14,3,0,0,0,10,1
"54025, Somerset, WI",54025,"7,329",45,48,37,39,"6,994","6,873",201,"7,128",1,3,1,101,37,"6,873","83,826.19 ","69,512.00 ","30,091.00 ",11,11,"2,549",45,12,1,0,1,26,5
"54027, Wilson, WI",54027,"1,069",13,12,2,2,"1,038","1,025",20,"1,049",0,0,0,15,1,"1,025","76,483.91 ","73,641.00 ","29,371.00 ",3,3,401,3,1,0,0,0,2,0
"54028, Woodville, WI",54028,"2,578",20,21,6,6,"2,483","2,455",47,"2,531",0,0,0,23,7,"2,455","74,536.44 ","64,505.00 ","28,450.00 ",4,4,961,12,3,0,0,0,9,0
"54082, Houlton, WI",54082,"1,578",14,11,5,5,"1,508","1,485",40,"1,538",0,0,3,21,5,"1,485","119,277.95 ","91,549.00 ","43,837.00 ",3,2,563,8,2,0,1,0,5,0
"54723, Bay City, WI",54723,"1,428",6,6,4,5,"1,409","1,399",12,"1,416",0,0,1,8,1,"1,399","73,290.33 ","66,992.00 ","29,238.00 ",1,1,567,2,0,0,0,0,2,0
"54750, Maiden Rock, WI",54750,"1,031",4,4,3,3,"1,018","1,007",13,"1,018",0,0,0,11,0,"1,007","84,209.82 ","69,101.00 ","33,538.00 ",0,0,410,3,0,0,0,0,3,0
"54761, Plum City, WI",54761,"1,261",3,3,7,4,"1,235","1,205",44,"1,217",4,0,0,28,0,"1,205","70,896.47 ","61,024.00 ","28,381.00 ",0,0,492,8,2,1,0,0,5,0
"55001, Afton, MN",55001,"3,049",143,148,24,25,"2,824","2,784",54,"2,995",0,5,0,33,1,"2,784","127,154.27 ","107,372.00 ","47,949.00 ",28,28,"1,107",7,1,0,0,2,4,0
"55003, Bayport, MN",55003,"1,889",9,9,24,25,"1,795","1,774",29,"1,860",0,0,0,19,4,"1,774","109,786.38 ","68,229.00 ","50,020.00 ",2,2,842,5,1,0,0,0,4,0
"55005, Bethel, MN",55005,"4,477",83,83,30,30,"4,251","4,215",54,"4,423",0,0,1,35,6,"4,215","102,347.71 ","89,965.00 ","34,543.00 ",16,15,"1,473",9,2,0,1,0,6,0
"55008, Cambridge, MN",55008,"14,418",199,195,134,126,"13,757","13,629",191,"14,227",9,4,5,123,18,"13,629","77,176.26 ","63,397.00 ","29,673.00 ",40,40,"5,303",39,9,2,0,0,26,2
"55011, Cedar, MN",55011,"9,883",235,227,49,47,"9,369","9,296",133,"9,750",1,6,1,86,12,"9,296","97,981.81 ","91,171.00 ","33,855.00 ",36,36,"3,322",23,4,1,0,0,17,1
"55012, Center City, MN",55012,"1,972",21,20,6,6,"1,906","1,894",22,"1,950",0,0,0,16,3,"1,894","85,056.06 ","70,509.00 ","31,245.00 ",3,3,702,6,1,0,0,0,5,0
"55013, Chisago City, MN",55013,"6,471",52,49,23,20,"6,265","6,220",77,"6,394",2,2,0,54,6,"6,220","95,470.05 ","71,264.00 ","38,048.00 ",8,8,"2,499",30,5,1,0,1,23,0
"55014, Circle Pines, MN",55014,"28,891","1,151","1,137",960,933,"25,727","25,299",719,"28,172",20,15,5,450,61,"25,299","100,086.12 ","89,374.00 ","34,521.00 ",229,229,"9,289",139,38,2,0,2,89,8
"55016, Cottage Grove, MN",55016,"36,013","2,092","2,083","1,657","1,632","30,672","29,445","1,821","34,192",27,17,11,"1,222",150,"29,445","102,767.57 ","91,482.00 ","35,005.00 ",470,468,"11,061",336,98,6,2,5,211,14
"55017, Dalbo, MN",55017,592,2,2,1,1,583,579,5,587,0,0,0,4,1,579,"70,059.23 ","56,633.00 ","26,170.00 ",1,1,219,2,0,0,0,0,1,1
"55020, Elko New Market, MN",55020,"3,820",100,91,35,32,"3,593","3,561",68,"3,752",0,3,0,49,9,"3,561","115,096.78 ","96,604.00 ","36,711.00 ",20,20,"1,173",12,0,0,0,0,12,0
"55024, Farmington, MN",55024,"34,108","1,470","1,541",892,902,"30,159","29,260","1,269","32,839",35,27,7,719,144,"29,260","99,513.62 ","93,920.00 ","33,668.00 ",347,344,"10,658",234,72,9,3,4,114,32
