Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"08001, Alloway, NJ",08001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"08002, Cherry Hill, NJ",08002,"21,397","2,889","2,801","1,828","1,671","15,351","14,547","1,859","19,538",113,10,15,936,146,"14,547","94,825.32 ","81,513.00 ","38,858.00 ",901,895,"6,633",532,139,25,6,3,323,36
"08003, Cherry Hill, NJ",08003,"29,991","4,756","4,656","1,767","1,664","22,565","21,993","1,050","28,941",73,2,14,699,79,"21,993","154,344.03 ","119,436.00 ","55,195.00 ","1,494","1,491","8,416",265,37,9,3,1,201,14
"08004, Atco, NJ",08004,"12,284",229,221,"1,362","1,288","10,183","9,871",671,"11,613",39,8,2,359,58,"9,871","101,479.41 ","85,379.00 ","35,365.00 ",61,61,"3,617",162,49,7,0,2,98,6
"08007, Barrington, NJ",08007,"5,829",125,117,395,350,"5,086","4,929",327,"5,502",28,3,2,184,26,"4,929","77,060.61 ","64,038.00 ","32,884.00 ",40,40,"2,184",110,24,8,0,2,67,9
"08009, Berlin, NJ",08009,"13,646",485,470,"1,652","1,548","10,945","10,612",742,"12,904",65,6,4,389,60,"10,612","100,461.69 ","80,321.00 ","37,633.00 ",139,138,"4,162",171,47,14,1,2,99,8
"08010, Beverly, NJ",08010,"12,132",362,360,"3,357","3,181","6,969","6,456","1,356","10,776",168,15,1,525,157,"6,456","79,674.43 ","66,458.00 ","32,532.00 ",108,108,"3,020",416,149,45,0,8,181,33
"08011, Birmingham, NJ",08011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"08012, Blackwood, NJ",08012,"38,125","1,441","1,407","3,834","3,569","31,350","30,325","2,118","36,007",192,14,6,"1,140",208,"30,325","92,402.42 ","80,037.00 ","35,402.00 ",439,438,"12,228",614,140,51,1,7,371,44
"08014, Bridgeport, NJ",08014,493,11,10,3,2,471,462,15,478,1,0,0,11,1,462,"83,948.21 ","85,714.00 ","33,223.00 ",6,6,187,4,1,0,0,0,3,0
"08015, Browns Mills, NJ",08015,"21,387",741,714,"4,155","3,810","14,368","13,057","2,612","18,775",309,19,20,"1,366",327,"13,057","81,565.42 ","70,409.00 ","28,494.00 ",257,253,"5,356",704,150,63,4,8,433,46
"08016, Burlington, NJ",08016,"33,278","2,118","2,105","9,839","9,440","19,072","17,956","2,476","30,802",392,19,11,"1,126",295,"17,956","97,063.14 ","82,433.00 ","35,497.00 ",561,557,"7,320",705,198,87,4,6,365,45
