Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"97004, Beavercreek, OR",97004,"4,468",53,52,18,17,"4,189","4,085",155,"4,313",1,1,1,102,18,"4,085","109,147.42 ","86,745.00 ","40,126.00 ",11,11,"1,575",37,8,0,0,0,25,4
"97005, Beaverton, OR",97005,"25,740","1,676","1,596",754,687,"16,812","13,975","7,975","17,765",43,89,26,"2,967",379,"13,975","60,445.88 ","46,299.00 ","24,872.00 ",705,701,"7,707","2,028","1,105",11,4,26,806,76
"97006, Beaverton, OR",97006,"66,713","10,992","10,938","2,148","2,068","43,137","38,249","11,400","55,313",88,137,96,"4,823",734,"38,249","81,120.32 ","67,113.00 ","31,236.00 ","3,878","3,849","18,205","2,865","1,322",31,29,42,"1,332",109
"97007, Beaverton, OR",97007,"72,162","8,651","8,735","1,654","1,614","52,040","47,254","10,408","61,754",71,114,83,"4,508",578,"47,254","96,702.93 ","75,033.00 ","35,695.00 ","2,864","2,842","20,745","2,506","1,180",21,22,26,"1,146",111
"97008, Beaverton, OR",97008,"29,500","2,156","2,165",615,579,"22,232","20,012","5,035","24,465",47,48,33,"2,134",271,"20,012","77,347.23 ","59,676.00 ","32,026.00 ",809,799,"9,871","1,287",618,13,10,17,579,50
"97009, Boring, OR",97009,"7,715",201,207,23,19,"6,886","6,637",594,"7,121",5,16,0,234,36,"6,637","87,935.23 ","72,998.00 ","32,491.00 ",53,53,"2,635",131,60,1,0,5,62,3
"97011, Brightwood, OR",97011,"1,157",10,10,2,2,"1,072","1,037",53,"1,104",0,1,0,33,3,"1,037","68,404.40 ","63,655.00 ","28,616.00 ",2,2,459,19,3,0,0,1,14,1
"97015, Clackamas, OR",97015,"21,994","2,710","2,693",322,299,"16,974","15,947","2,081","19,913",22,83,9,"1,040",174,"15,947","82,387.32 ","68,024.00 ","31,820.00 ",760,756,"7,083",538,162,5,4,15,312,40
"97017, Colton, OR",97017,"3,167",14,16,9,10,"3,033","2,955",102,"3,065",0,3,0,67,13,"2,955","80,391.43 ","67,787.00 ","28,557.00 ",3,3,"1,086",22,4,0,0,1,16,1
"97018, Columbia City, OR",97018,"1,272",21,18,4,3,"1,176","1,157",50,"1,222",0,1,0,31,8,"1,157","86,618.67 ","69,444.00 ","33,361.00 ",6,6,462,13,2,0,0,0,10,1
"97019, Corbett, OR",97019,"3,673",52,58,23,26,"3,401","3,295",132,"3,541",0,3,1,76,14,"3,295","87,028.18 ","73,779.00 ","32,284.00 ",15,15,"1,282",23,6,0,0,0,15,2
"97022, Eagle Creek, OR",97022,"3,370",48,51,6,4,"3,128","3,062",142,"3,228",2,5,0,55,8,"3,062","88,280.14 ","75,996.00 ","32,518.00 ",8,8,"1,182",36,14,1,0,1,18,2
