Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"62001, Alhambra, IL",62001,"1,978",8,8,6,6,"1,922","1,914",16,"1,962",0,0,0,9,1,"1,914","85,918.33 ","73,554.00 ","32,673.00 ",2,2,718,5,2,0,0,0,3,0
"62002, Alton, IL",62002,"32,228",221,217,"7,197","7,132","23,372","22,985",656,"31,572",43,10,3,414,92,"22,985","56,468.95 ","44,921.00 ","24,136.00 ",72,70,"10,091",190,33,10,2,2,131,12
"62006, Batchtown, IL",62006,477,0,0,0,0,476,475,1,476,0,0,0,1,0,475,"72,199.15 ","58,333.00 ","27,699.00 ",0,0,183,0,0,0,0,0,0,0
"62009, Benld, IL",62009,"1,974",7,7,6,6,"1,926","1,914",19,"1,955",0,0,0,11,0,"1,914","55,995.44 ","47,483.00 ","23,284.00 ",1,1,801,5,3,0,0,0,2,0
"62010, Bethalto, IL",62010,"11,193",74,71,147,144,"10,730","10,577",238,"10,955",1,1,2,157,16,"10,577","79,706.99 ","66,476.00 ","32,459.00 ",19,19,"4,391",53,13,0,0,0,39,1
"62012, Brighton, IL",62012,"6,427",15,15,70,66,"6,194","6,156",73,"6,354",4,3,0,37,14,"6,156","83,482.05 ","72,104.00 ","31,612.00 ",4,4,"2,356",14,3,0,0,0,8,3
"62013, Brussels, IL",62013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"62014, Bunker Hill, IL",62014,"4,129",8,8,92,90,"3,966","3,958",20,"4,109",0,1,0,11,6,"3,958","72,322.80 ","57,410.00 ","28,504.00 ",3,3,"1,558",6,0,0,0,0,4,2
"62018, Cottage Hills, IL",62018,"3,374",27,27,128,125,"3,129","3,089",66,"3,308",2,4,0,42,9,"3,089","59,541.79 ","46,366.00 ","23,128.00 ",6,6,"1,226",15,3,0,0,1,9,2
"62021, Dorsey, IL",62021,"1,066",6,6,8,7,"1,036","1,027",12,"1,054",1,0,0,8,2,"1,027","95,041.12 ","86,688.00 ","36,660.00 ",1,1,404,2,0,0,0,0,2,0
"62022, Dow, IL",62022,"1,443",4,3,6,5,"1,400","1,393",16,"1,427",0,0,0,12,1,"1,393","72,468.61 ","61,504.00 ","27,263.00 ",1,1,486,3,1,0,0,0,2,0
"62023, Eagarville, IL",62023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"62024, East Alton, IL",62024,"9,624",42,40,168,163,"9,151","9,058",157,"9,467",2,4,1,100,19,"9,058","58,094.59 ","47,122.00 ","24,979.00 ",9,9,"3,985",48,8,2,0,2,33,3
"62025, Edwardsville, IL",62025,"33,405",738,721,"2,206","2,169","29,548","29,118",642,"32,763",26,7,14,447,50,"29,118","98,536.03 ","82,922.00 ","38,071.00 ",255,251,"11,354",158,25,8,4,2,113,6
"62028, Elsah, IL",62028,776,2,2,3,3,754,748,8,768,0,0,0,6,0,748,"83,708.63 ","73,026.00 ","32,840.00 ",0,0,282,2,1,0,0,0,1,0
"62030, Fidelity, IL",62030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"62031, Fieldon, IL",62031,872,1,1,1,1,861,859,4,868,0,0,0,4,0,859,"77,046.07 ","65,278.00 ","30,255.00 ",0,0,337,2,0,0,0,0,2,0
"62033, Gillespie, IL",62033,"4,952",10,11,7,7,"4,833","4,805",48,"4,904",0,6,0,22,2,"4,805","60,971.99 ","50,546.00 ","25,109.00 ",3,3,"2,007",11,5,0,0,0,5,1
