Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# White Non-Hispanic Households, 2014"
"30044, Lawrenceville, GA",30044,88789,11622,11125,26081,24300,35267,24712,25869,62920,929,397,106,11897,1474,24712,76166.8545786,62572,24597,3164,3144,12747,6132,2681,268,20,74,2800,289,9626
"30043, Lawrenceville, GA",30043,82060,10393,10200,18621,17794,44965,38435,12918,69142,596,163,60,6929,898,38435,95193.106078175,80605,31532,2826,2814,16330,3065,1016,144,12,31,1712,150,13833
"30349, Atlanta, GA",30349,73096,902,876,66999,66264,2764,2244,2332,70764,675,53,25,582,288,2244,68959.925228873,56182,25973,266,261,1308,654,194,228,5,7,160,60,1090
"30024, Suwanee, GA",30024,70416,14682,14596,7156,6950,45081,41732,5258,65158,193,37,58,3393,325,41732,131337.88448421,112527,42112,4026,4014,15492,1300,323,47,12,8,858,52,14259
"30281, Stockbridge, GA",30281,68390,3106,3043,31467,30924,29473,26794,5694,62696,563,47,65,2656,513,26794,78680.421348763,66266,28844,698,683,11669,1402,464,164,15,16,625,118,10778
"30096, Duluth, GA",30096,66298,13214,12857,16462,15488,26499,20276,15582,50716,625,240,67,6909,950,20276,75909.583436725,60014,29564,4562,4548,11556,4092,1854,184,14,50,1795,195,9306
"30022, Alpharetta, GA",30022,66261,10428,10461,7529,7411,45142,41854,4691,61570,159,31,25,3179,334,41854,136344.79870103,111976,49742,3191,3184,17465,1226,260,44,7,6,837,72,16272
"30062, Marietta, GA",30062,63840,5455,5595,7276,7319,47685,43762,5342,58498,177,39,27,3482,271,43762,117658.08213386,96774,43207,1636,1631,18164,1344,315,45,5,10,910,59,17044
"30135, Douglasville, GA",30135,63397,1249,1191,25387,24480,33824,32242,4435,58962,554,55,41,1967,341,32242,88940.626923971,75465,30304,324,321,12452,843,341,99,3,9,334,57,11746
"30041, Cumming, GA",30041,62565,4598,4630,1084,1060,53913,50614,5009,57556,37,54,23,3216,199,50614,117815.07936064,99973,40448,1321,1310,19257,1111,273,14,11,15,763,35,18146
"30040, Cumming, GA",30040,61993,3129,3144,1999,1941,51449,47501,8044,53949,80,80,20,3876,395,47501,106012.88818645,90927,36420,953,938,18617,1756,682,38,15,22,924,75,16926
"30052, Loganville, GA",30052,61903,1192,1174,14595,14389,42713,40434,4254,57649,304,35,26,2163,394,40434,86092.820856001,73416,28901,322,314,15323,986,308,69,8,5,531,65,14428
"30127, Powder Springs, GA",30127,61581,1044,1042,24282,24313,33040,30222,4484,57097,471,46,24,2263,321,30222,97821.249742559,81240,32533,279,272,11849,1005,305,113,7,13,527,40,10986
"30047, Lilburn, GA",30047,61366,9053,8836,11776,11178,33139,28010,11481,49885,387,210,49,5544,662,28010,95480.578857338,77328,32081,2358,2350,12717,2572,1076,89,8,39,1216,144,11142
"31907, Columbus, GA",31907,59844,1015,993,38924,38417,16954,15597,3074,56770,609,26,25,1248,488,15597,64012.752897461,50585,24462,332,320,7412,926,222,157,12,10,420,104,6682
"30093, Norcross, GA",30093,59165,5891,5305,15507,13483,17831,6004,32902,26263,862,640,128,13574,1793,6004,53652.773039295,42466,16779,1674,1653,5725,7736,3940,249,21,136,3004,386,2840
"30331, Atlanta, GA",30331,58059,231,224,55004,54458,1143,823,1666,56393,474,16,7,393,200,823,72027.617042716,54178,28472,79,76,492,373,125,120,3,7,85,33,391
"30906, Augusta, GA",30906,58049,557,546,37269,36744,17626,16944,2162,55887,457,25,10,754,366,16944,54858.447927298,43512,19870,223,220,7237,645,187,89,3,7,290,69,6868
"30318, Atlanta, GA",30318,58004,3858,3823,33070,32663,18225,16828,3396,54608,377,23,32,1431,276,16828,72299.873026045,45020,28302,905,900,7326,881,297,125,5,6,380,68,6742
"30066, Marietta, GA",30066,56625,3612,3812,7320,7579,42725,38809,4621,52004,193,58,28,3128,240,38809,105143.81630996,86403,38933,1067,1064,16395,1190,216,46,3,17,858,50,15246
"30101, Acworth, GA",30101,56368,1748,1817,9445,9706,42394,39048,4352,52016,244,33,26,2671,237,39048,100618.85195429,85170,34230,486,477,14874,1060,249,54,9,9,684,55,13839
