Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# Black Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014"
"47906, West Lafayette, IN",47906,70176,10251,10571,2059,2083,55135,52397,3337,66839,45,14,29,2261,194,52397,3588,3576,609,18835,903,220,18,12,4,609,40,65550.917460585,41189,22913
"46307, Crown Point, IN",46307,60606,1148,1215,3028,3155,53665,49519,5722,54884,82,42,13,3791,514,49519,332,331,867,20133,1412,337,14,1,13,965,82,90238.018503364,76558,33956
"46227, Indianapolis, IN",46227,58576,4236,4299,3153,3152,45447,43274,5864,52712,69,40,29,1970,457,43274,1230,1222,1125,19895,1592,894,14,8,9,582,84,56748.97416272,43907,23490
"46143, Greenwood, IN",46143,49670,1704,1669,707,681,45578,44659,1661,48009,14,20,5,980,163,44659,566,565,278,17646,427,99,4,1,4,297,22,95122.311049753,75188,36096
"47150, New Albany, IN",47150,49390,606,577,4267,4072,42070,41603,1749,47641,57,16,9,673,163,41603,178,175,1633,18073,471,201,11,3,4,225,27,62449.35277655,49506,26343
"47374, Richmond, IN",47374,46504,617,608,2939,2873,39956,39367,1536,44968,70,21,10,581,145,39367,198,195,1574,16507,414,182,22,3,5,170,30,56805.132785582,41535,24050
"47130, Jeffersonville, IN",47130,45711,648,657,6258,6407,36363,35001,1977,43734,76,17,14,1056,177,35001,221,218,2386,15888,506,157,18,3,5,296,27,67112.532724026,56052,28727
"46032, Carmel, IN",46032,44688,3839,3847,1692,1646,37660,36660,1407,43281,56,17,15,960,94,36660,1305,1304,601,15091,374,71,8,1,4,273,17,135538.91301326,104045,52808
"47401, Bloomington, IN",47401,43711,3366,3251,1284,1185,37171,36563,1356,42355,60,19,7,799,110,36563,1255,1252,619,15738,334,87,11,3,3,197,33,76715.093643274,49773,32354
"46350, La Porte, IN",46350,43530,197,220,1138,1307,40087,37883,3149,40381,53,29,14,1781,239,37883,64,51,232,16272,683,263,28,13,8,327,44,70426.052699606,54741,27805
