Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# Population, Hispanic, Other Race Alone, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"42101, Bowling Green, KY",42101,58805,1684,1579,8110,7657,45208,44265,4013,54792,87,21,30,1446,382,2047,44265,49158.85997,38382,18636,381,373,17164,869,439,18,8,6,325,73
"40475, Richmond, KY",40475,56327,690,683,3536,3498,50522,49811,1255,55072,33,7,6,718,143,348,49811,64491.42062,46665,25709,229,227,19771,399,122,11,2,3,232,28
"41042, Florence, KY",41042,51446,1532,1489,1896,1851,45085,43894,2841,48605,25,22,28,1240,168,1358,43894,72350.54528,62283,28506,517,513,18247,792,321,6,4,5,409,47
"40601, Frankfort, KY",40601,50794,833,805,5881,5733,41832,41432,1478,49316,44,21,13,544,143,713,41432,70190.18796,55391,30016,290,289,18478,399,170,12,1,3,189,23
"42701, Elizabethtown, KY",42701,50216,1309,1264,4774,4604,41763,40753,1940,48276,99,14,26,1125,219,457,40753,71472.75887,55970,28558,352,345,17059,592,144,29,7,6,378,28
"40214, Louisville, KY",40214,45988,2964,2818,7365,6819,32755,30452,4630,41358,344,42,62,2627,284,1271,30452,58587.4003,47166,24016,846,836,14106,1412,380,114,10,8,851,49
"40324, Georgetown, KY",40324,45063,509,468,2945,2732,39695,38994,2240,42823,47,30,12,934,193,1024,38994,80641.24207,67818,29873,111,111,15002,537,198,11,0,5,304,19
"42301, Owensboro, KY",42301,43548,342,331,3475,3548,38332,37597,1268,42280,20,19,20,612,119,478,37597,59702.07447,48775,25231,69,66,16376,295,115,10,3,3,150,14
"40216, Louisville, KY",40216,43061,404,384,15605,15514,25314,24507,1618,41443,97,10,20,801,199,491,24507,56845.01849,46441,23507,109,103,10819,430,127,29,6,2,240,26
"40356, Nicholasville, KY",40356,42027,424,372,1354,1184,38670,38329,1239,40788,11,8,2,670,91,457,38329,76218.36274,55032,28618,92,92,14612,310,111,4,0,4,175,16
"42240, Hopkinsville, KY",42240,41997,484,479,10662,10747,29115,28265,1418,40579,44,43,11,701,217,402,28265,58387.99535,45116,24261,155,151,12081,416,119,16,4,12,235,30
"41017, Ft Mitchell, KY",41017,39954,876,835,689,653,37413,36972,829,39125,8,5,6,532,44,234,36972,96869.53762,74061,38734,274,270,15028,225,55,3,4,0,154,9
"40229, Louisville, KY",40229,38841,493,484,2612,2568,34334,33350,1565,37276,60,17,12,960,129,387,33350,66794.83012,58495,24926,144,141,13124,370,84,11,3,5,253,14
"42420, Henderson, KY",42420,38779,228,223,3541,3560,33766,33255,799,37980,23,12,8,454,88,214,33255,62556.17613,46509,26061,60,58,14242,184,57,5,2,4,101,15
"40299, Louisville, KY",40299,38368,788,786,3474,3453,32653,31737,1554,36814,66,23,12,850,123,480,31737,92698.30248,77966,36537,238,235,13136,386,114,15,3,5,233,16
"40219, Louisville, KY",40219,38277,664,595,9292,8632,25231,22990,4987,33290,377,78,49,2579,280,1624,22990,54553.77417,45523,22305,207,197,10673,1335,403,108,10,12,746,56
"42303, Owensboro, KY",42303,38248,519,518,1752,1772,34874,34081,1238,37010,27,4,15,714,76,402,34081,64002.88755,48879,26161,115,112,14265,280,86,5,3,2,166,18
"40272, Louisville, KY",40272,37822,307,310,1731,1745,34366,33641,1085,36737,35,14,6,638,104,288,33641,63466.28877,52880,24211,100,99,13360,268,70,11,1,7,168,11
"40517, Lexington, KY",40517,36916,1007,1036,6973,7120,26361,24871,2223,34693,95,10,6,1156,218,738,24871,55018.88532,44532,25473,408,406,12978,668,188,32,2,4,386,56
"40291, Louisville, KY",40291,36711,580,569,4367,4312,30151,29214,1694,35017,93,21,16,886,158,520,29214,79861.91242,69066,31843,174,172,12376,400,128,23,2,3,226,18
"40515, Lexington, KY",40515,35414,1344,1411,2559,2672,30138,29252,993,34421,30,2,9,609,94,249,29252,99894.89792,74910,40772,432,430,12605,305,71,10,2,0,203,19
"40165, Shepherdsville, KY",40165,35073,158,161,209,212,33979,33727,386,34687,3,6,1,226,46,104,33727,68957.46407,58275,25901,31,30,12710,102,31,2,1,2,59,7
"40391, Winchester, KY",40391,35038,161,159,1934,2047,32150,31454,954,34084,18,6,12,527,88,303,31454,67810.85011,51075,27318,30,26,13172,226,75,11,4,4,115,17
"40509, Lexington, KY",40509,34904,1789,1813,5068,5135,26250,25182,1806,33098,61,20,21,872,123,709,25182,98124.24035,73659,41594,602,592,11623,567,198,22,10,4,294,39
"40220, Louisville, KY",40220,33146,1156,1134,5066,4944,25504,24504,1800,31346,92,17,15,1041,119,516,24504,74093.66414,59198,33139,455,450,11608,547,143,27,5,6,340,26
"40511, Lexington, KY",40511,32679,529,500,10478,10210,18403,16506,4514,28165,184,47,25,1993,253,2012,16506,71615.8273,59952,26999,172,163,6922,1116,489,43,9,9,503,63
"40218, Louisville, KY",40218,32185,799,759,12421,11988,16671,15202,3152,29033,186,21,24,1754,245,922,15202,55148.85866,42252,24018,258,256,7693,891,238,56,2,4,545,46
