Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# American Indian and Alaska Native Population, Alone, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"45011, Hamilton, OH",45011,71156,2037,1978,7969,7737,56059,54329,5371,65785,143,92,36,1862,421,54329,203,84362.07302,68983,28974,543,537,19734,1127,513,27,6,22,507,52
"44035, Elyria, OH",44035,63552,556,553,8792,8734,50723,48546,3143,60409,314,33,19,1830,424,48546,196,59355.96936,48599,24864,192,190,21946,787,185,54,2,16,465,65
"43123, Grove City, OH",43123,62037,1134,1122,3282,3217,54993,54101,1800,60237,45,26,5,931,145,54101,171,81636.67463,68680,30931,306,305,21597,430,167,9,1,3,217,33
"44256, Medina, OH",44256,62005,700,666,1187,1104,58679,58128,1061,60944,32,6,4,680,96,58128,73,97600.58962,80342,36960,198,196,22543,265,41,6,2,1,210,5
"43130, Lancaster, OH",43130,60764,329,340,1121,1168,57811,57102,853,59911,20,8,9,547,75,57102,157,64673.81871,51287,25580,90,85,22967,249,57,3,5,1,152,29
"44060, Mentor, OH",44060,60128,824,835,734,740,57599,56873,898,59230,16,6,13,657,82,56873,45,86852.79831,71953,35642,291,287,23832,207,29,8,4,2,152,12
"43055, Newark, OH",43055,60046,431,421,1870,1822,55779,55363,719,59327,15,12,2,488,85,55363,220,62022.47395,47097,25629,109,108,23326,222,44,4,1,4,142,26
"43081, Westerville, OH",43081,58289,2702,2676,5670,5554,47458,46481,1734,56555,80,13,9,1042,179,46481,121,92319.85012,81147,37503,885,880,20112,468,118,16,5,4,290,35
"45601, Chillicothe, OH",45601,58076,231,225,4534,4460,51302,51038,553,57523,36,14,4,319,102,51038,143,63319.9598,48213,23752,70,70,19785,154,18,6,0,7,110,11
"43026, Hilliard, OH",43026,57278,3774,3754,2946,2864,47863,46818,2260,55018,72,12,8,1073,163,46818,92,98784.99384,83848,36746,1072,1071,18649,567,233,21,1,2,287,23
"44077, Painesville, OH",44077,57163,505,434,3567,3154,48711,46609,5638,51525,155,36,35,2505,355,46609,70,79916.43369,62799,31159,181,163,19535,1172,529,62,18,17,466,80
"45840, Findlay, OH",45840,55795,1331,1521,1064,1154,51359,49028,2962,52833,59,41,7,1840,340,49028,159,71050.72708,54285,29559,458,456,21551,635,190,12,2,11,371,49
"43302, Marion, OH",43302,54826,345,330,4668,4608,48434,47578,1396,53430,57,13,15,860,98,47578,92,56840.58087,45105,20899,131,128,18435,223,76,11,3,2,118,13
"43701, Zanesville, OH",43701,54449,252,247,3545,3491,48755,48558,401,54048,33,11,3,232,80,48558,152,54571.663,41503,23100,59,57,20948,95,16,8,2,1,58,10
"45140, Loveland, OH",45140,53864,1746,1694,996,961,49918,48956,1333,52531,12,15,10,1049,83,48956,72,110514.6487,91266,40886,594,591,18614,344,48,6,3,4,269,14
"43068, Reynoldsburg, OH",43068,53855,1278,1253,15067,14839,34195,33242,2233,51622,194,23,22,995,256,33242,149,77007.56622,63798,30865,398,390,14896,621,219,41,8,7,295,51
"43230, Columbus, OH",43230,53083,2333,2322,8156,8022,40044,39240,1620,51463,121,19,7,824,147,39240,140,96955.54637,77449,40410,768,767,17502,483,161,33,1,5,261,22
"43228, Columbus, OH",43228,53038,1782,1743,8474,8204,35048,33259,7598,45440,211,80,26,1878,428,33259,229,58152.70755,46593,23489,593,584,15715,1969,1320,71,9,17,461,91
"44107, Lakewood, OH",44107,52583,1078,1018,3742,3451,45168,43935,2456,50127,126,20,11,1529,264,43935,177,63799.59054,49403,31137,410,406,22475,869,204,27,4,9,564,61
"45040, Mason, OH",45040,52382,7197,7145,2284,2248,41594,40299,1756,50626,22,18,7,1359,72,40299,66,121359.9031,98380,42161,2078,2072,14915,339,84,7,6,2,225,15
"45013, Hamilton, OH",45013,52286,296,291,1516,1485,48824,48438,863,51423,8,12,1,432,131,48438,115,70116.56018,58318,27627,70,70,19401,191,51,1,0,3,122,14
"45044, Middletown, OH",45044,52083,885,870,6747,6517,41869,41032,2158,49925,161,9,6,930,203,41032,101,70848.54062,53847,26593,249,249,16023,528,168,46,0,2,285,27
"43015, Delaware, OH",43015,50928,889,871,2046,2007,46507,45739,1251,49677,36,18,17,773,81,45739,109,88346.59853,70540,33721,233,231,17899,240,58,9,2,3,155,13
"44130, Cleveland, OH",44130,50735,1976,1848,1491,1341,45736,44772,1817,48918,70,15,19,1210,174,44772,117,66647.49811,54474,30354,687,683,21002,559,113,16,4,7,394,25
"45424, Dayton, OH",45424,50712,1746,1687,7251,7022,39125,38302,1717,48995,84,10,24,1043,175,38302,174,75728.90312,63246,28996,564,558,15407,458,103,14,6,3,296,34
"45069, West Chester, OH",45069,49705,3796,3703,4137,3997,39656,38656,2202,47503,67,23,25,1162,166,38656,125,114969.3548,95451,41391,1137,1132,14842,538,134,13,5,5,356,25
"43229, Columbus, OH",43229,48175,1244,1202,19849,19388,22532,20701,4830,43345,313,50,33,2004,386,20701,144,57060.51414,44905,24491,439,428,11051,1387,591,95,11,13,586,91
"44646, Massillon, OH",44646,47292,530,514,3229,3159,41942,41356,954,46338,24,28,8,660,76,41356,93,68656.18765,53569,28356,120,120,17373,256,40,3,0,8,187,18
"43207, Columbus, OH",43207,46363,704,692,12640,12541,30348,29783,1607,44756,82,22,11,585,206,29783,183,50859.88875,42784,20049,200,196,12385,386,186,21,4,7,133,35
"44102, Cleveland, OH",44102,45025,816,702,11678,9585,24360,20344,12538,32487,1163,108,46,5193,1193,20344,350,41572.34129,27932,17255,291,275,11109,3911,1493,344,16,38,1711,309
"45014, Fairfield, OH",45014,44707,1165,1153,6111,5930,34638,33858,2559,42148,134,32,3,846,189,33858,130,76912.8718,62780,31582,389,387,14578,663,304,32,2,6,270,49
"44212, Brunswick, OH",44212,44668,647,608,525,497,42396,41810,1099,43569,6,13,11,665,106,41810,68,81344.03472,71107,30966,181,180,16315,281,62,1,1,1,206,10
