Name,FIPS,"# Asian Population, Alone, 2019","# Population, Not Hispanic, Asian Alone, 2019","# Black Population, Alone, 2019","# White Non-Hispanic Population, 2019","# Population, Not Hispanic, Black Alone, 2019","# White Population, Alone, 2019","Average Household Income, 2019","# Population, 2019"
"30318, Atlanta, GA",30318,3783,3765,34829,16758,34470,18099,85010,59865
"30319, Atlanta, GA",30319,2804,2774,4193,28137,4031,30848,158939,42185
"30324, Atlanta, GA",30324,2535,2519,5976,14087,5718,16292,107967,28290
"30309, Atlanta, GA",30309,1836,1824,4699,15375,4578,16023,140742,23639
"30342, Atlanta, GA",30342,1517,1498,4556,19458,4269,23244,158826,34036
"30308, Atlanta, GA",30308,1327,1322,7801,9241,7671,9737,93555,19848
"30327, Atlanta, GA",30327,1139,1120,1615,20608,1555,21287,252810,24985
"30306, Atlanta, GA",30306,934,923,1674,19812,1612,20495,168355,24119
"30307, Atlanta, GA",30307,922,914,3151,14619,3098,15014,145970,19938
"30305, Atlanta, GA",30305,911,901,2255,19115,2195,19843,158530,24252
"30313, Atlanta, GA",30313,849,844,5185,2362,5119,2550,74514,8939
"30326, Atlanta, GA",30326,547,545,766,5390,728,5631,170587,7220
"30354, Atlanta, GA",30354,547,545,11385,1896,11261,3073,53663,16892
"30312, Atlanta, GA",30312,495,490,12738,7045,12525,7431,79250,21756
"30363, Atlanta, GA",30363,439,436,754,1180,733,1252,88882,2621
"30316, Atlanta, GA",30316,438,431,21528,10043,21356,10582,85669,33957
"30315, Atlanta, GA",30315,346,333,32045,3559,31494,4572,53690,39089
"30331, Atlanta, GA",30331,243,234,56022,772,55607,1149,82667,59240
"30310, Atlanta, GA",30310,229,220,28898,1353,28688,1443,49176,31463
"30317, Atlanta, GA",30317,190,188,7955,4473,7891,4613,92410,13190
"30303, Atlanta, GA",30303,78,77,1051,426,1035,484,82065,1695
"30311, Atlanta, GA",30311,74,68,34671,566,34395,897,58733,36693
"30314, Atlanta, GA",30314,53,51,20612,341,20373,402,47442,21565
"30332, Atlanta, GA",30332,0,0,5,1,5,1,86400,6
"30334, Atlanta, GA",30334,0,0,0,0,0,0,0,0
