Name,FIPS,"Median Household Income, 2019","# Asian Population, Alone, 2019","# Black Population, Alone, 2019","# Population, Not Hispanic, Black Alone, 2019","# Black Non-Hispanic Head of Households, 2019","# Asian Non-Hispanic Head of Households, 2019","# Population, Not Hispanic, Asian Alone, 2019","# Asian Households, 2019","# White Population, Alone, 2019","# White Households, 2019","# Population, Not Hispanic, White Alone, 2019","# Hispanic Households, 2019","# Hispanic Population, 2019","# Population, Not Hispanic, 2019","# Hispanic Head of Households, Other Race Alone, 2019","# Population, Hispanic, Black Alone, 2019","# Hispanic Head of Households, Black Alone, 2019","# Hispanic Head of Households, Asian Alone, 2019","# Population, Hispanic, American Indian and Alaska Native Alone, 2019","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2019","# Population, Hispanic, Asian Alone, 2019","# Population, Hispanic, White Alone, 2019","# Hispanic Head of Households, White Alone, 2019","# Population, Hispanic, Two or More Races, 2019","# Hispanic Head of Households, Two or More Races, 2019","# Population, 2019"
"30002, Avondale Estates, GA",30002,53412,317,2868,2838,1269,95,316,95,2590,1292,2503,54,165,5838,6,30,10,0,1,0,1,87,33,19,5,6003
"30004, Alpharetta, GA",30004,125849,7149,5754,5582,2171,2254,7118,2261,45522,17270,42100,1442,5616,56741,395,170,44,7,43,5,28,3427,917,299,74,62357
"30005, Alpharetta, GA",30005,130751,8158,3723,3659,1363,2484,8141,2488,22680,8072,21106,617,2299,34051,140,61,13,4,16,5,10,1585,417,181,38,36350
"30008, Marietta, GA",30008,56750,872,14994,14557,4992,269,861,270,11515,4254,6982,2178,9889,23613,927,349,94,1,120,25,6,4633,979,624,152,33502
"30009, Alpharetta, GA",30009,92684,2662,3004,2920,1361,937,2657,938,11637,5173,10398,569,2001,16652,134,82,30,1,16,3,3,1243,358,145,43,18653
"30011, Auburn, GA",30011,79828,943,2034,1996,615,218,928,219,14507,5020,13638,375,1605,17033,116,37,7,1,19,5,15,870,216,126,30,18638
"30012, Conyers, GA",30012,62578,404,12802,12510,4419,116,381,120,11419,4520,8661,1282,5800,22503,565,228,55,4,48,12,21,2829,572,241,74,28303
"30013, Conyers, GA",30013,77292,708,17981,17689,6117,201,701,202,8002,3369,7152,483,2022,26321,177,261,72,1,13,3,6,883,206,124,24,28343
"30014, Covington, GA",30014,66994,374,14194,14029,4694,64,367,67,20939,7965,20134,456,1889,35251,199,159,39,3,20,6,7,811,188,127,21,37140
"30016, Covington, GA",30016,68928,473,30893,30511,10136,128,456,133,22204,8245,20825,724,3044,53108,224,381,104,5,15,6,17,1380,336,271,49,56152
"30017, Grayson, GA",30017,108701,1354,7949,7809,2403,348,1347,350,13278,4886,12443,400,1627,22361,109,140,38,2,32,6,7,835,218,177,27,23988
"30019, Dacula, GA",30019,101668,2202,10564,10279,2995,592,2187,593,32362,10769,29503,1168,5040,43278,315,285,63,1,60,14,15,2859,708,402,67,48318
"30021, Clarkston, GA",30021,42734,4563,14494,14298,5528,1065,4541,1071,4081,1952,3803,250,889,23704,76,194,65,6,15,3,22,280,85,81,15,24593
"30022, Alpharetta, GA",30022,131885,11974,8119,7945,3081,3634,11936,3641,47154,18590,43937,1361,4786,66169,290,166,50,7,32,7,27,3238,923,345,84,70955
"30024, Suwanee, GA",30024,135204,16577,8100,7865,2614,4595,16496,4608,50826,17268,46877,1463,5930,73361,309,230,54,13,44,10,70,3966,1019,379,58,79291
"30025, Social Circle, GA",30025,71746,77,2307,2290,777,17,76,17,7337,2732,7166,60,297,9713,14,11,1,0,5,1,1,177,40,25,4,10010
"30028, Cumming, GA",30028,95995,391,495,476,134,105,387,105,28132,9695,27121,472,2074,28555,187,16,2,0,25,5,2,1019,262,110,16,30629
"30030, Decatur, GA",30030,87745,1539,5640,5571,2541,606,1527,610,19580,9654,19027,275,809,27107,25,62,21,4,9,3,10,563,201,84,21,27916
"30032, Decatur, GA",30032,49750,371,44750,44346,16085,125,368,127,4771,2300,4441,332,1165,50258,82,403,94,2,9,2,3,331,110,128,42,51423
"30033, Decatur, GA",30033,81329,5395,3897,3810,1695,1895,5377,1902,21544,10812,20615,460,1433,31048,72,83,32,7,16,3,12,940,308,122,38,32481
"30034, Decatur, GA",30034,71368,142,41881,41563,15719,47,140,48,868,408,790,176,568,43220,24,318,93,1,6,3,2,78,27,85,28,43788
"30035, Decatur, GA",30035,61798,308,21382,21178,8043,79,300,81,850,422,746,144,482,22718,36,202,56,2,3,1,8,106,33,48,16,23200
"30038, Lithonia, GA",30038,68853,129,38787,38369,15057,51,127,51,1258,648,1181,215,781,40583,38,417,119,0,13,4,2,78,26,134,28,41364
"30039, Snellville, GA",30039,86388,1491,30710,30066,9554,452,1473,454,13936,5344,12114,1036,4528,45188,324,635,178,2,41,7,18,1831,431,529,94,49716
"30040, Cumming, GA",30040,106674,4040,2593,2484,803,1176,4016,1180,61709,22238,56878,2205,10070,65191,920,108,38,4,124,17,23,4833,1132,503,94,75261
"30041, Cumming, GA",30041,120546,5799,1337,1281,422,1606,5758,1613,61468,21965,57565,1358,6130,66142,365,52,10,7,86,13,24,3929,923,246,40,72272
"30043, Lawrenceville, GA",30043,94114,11301,20936,20235,6524,3159,11226,3171,47235,17045,39313,3380,14101,73617,948,693,174,12,192,38,70,7936,2029,1048,179,87718
"30044, Lawrenceville, GA",30044,72799,12719,28350,27241,9584,3499,12567,3520,36930,13119,23469,6546,27636,65986,2469,1064,298,21,456,89,131,13531,3326,1687,343,93622
"30045, Lawrenceville, GA",30045,94252,2313,17025,16643,4981,582,2283,585,16548,5632,13197,1418,6227,33318,413,376,87,3,117,23,29,3358,812,438,80,39545
"30046, Lawrenceville, GA",30046,63717,3150,14133,13644,4685,841,3110,849,17414,6802,12418,2502,10651,30386,955,479,122,8,204,37,38,5009,1230,703,150,41037
"30047, Lilburn, GA",30047,90113,9883,13306,12843,4180,2628,9815,2636,35343,13430,28931,2804,12582,53547,1005,454,109,8,256,47,61,6429,1463,792,172,66129
"30052, Loganville, GA",30052,87314,1346,16662,16312,5069,359,1326,365,44868,16102,42450,1077,4663,61996,318,346,75,6,34,6,20,2422,598,444,74,66659
"30054, Oxford, GA",30054,85242,272,3253,3215,992,27,266,28,9510,3477,9296,88,413,13013,24,33,5,1,10,1,6,219,50,32,7,13426
"30055, Mansfield, GA",30055,74447,13,292,290,102,3,13,3,2795,1014,2759,19,76,3138,6,1,0,0,6,1,0,37,11,7,1,3214
"30056, Newborn, GA",30056,65537,13,381,378,126,2,13,2,2150,775,2110,27,142,2563,12,1,0,0,4,1,0,42,10,13,4,2705
"30058, Lithonia, GA",30058,65216,286,53368,52762,19496,85,284,85,2289,1047,1887,468,1643,56177,132,599,167,0,12,6,2,409,111,173,52,57820
"30060, Marietta, GA",30060,49222,1178,11364,10899,4216,378,1142,382,15838,6203,9231,3037,13717,22887,1270,346,92,4,151,34,23,6757,1461,758,176,36604
"30062, Marietta, GA",30062,114093,6231,8051,7861,3010,1815,6197,1820,48671,18891,45272,1436,5610,61665,389,178,49,5,42,11,25,3423,908,341,74,67275
"30064, Marietta, GA",30064,98741,1528,12556,12321,4341,406,1514,408,33799,13674,31104,1179,4967,46509,360,210,49,2,73,14,11,2726,700,283,54,51476
