Name,FIPS,"Median Household Income, 2019","# Asian Population, Alone, 2019","# Black Population, Alone, 2019","# Population, Not Hispanic, Black Alone, 2019","# Black Non-Hispanic Head of Households, 2019","# Asian Non-Hispanic Head of Households, 2019","# Population, Not Hispanic, Asian Alone, 2019","# Asian Households, 2019","# White Population, Alone, 2019","# White Households, 2019","# Population, Not Hispanic, White Alone, 2019","# Hispanic Households, 2019","# Hispanic Population, 2019","# Population, Not Hispanic, 2019","# Hispanic Head of Households, Other Race Alone, 2019","# Population, Hispanic, Black Alone, 2019","# Hispanic Head of Households, Black Alone, 2019","# Hispanic Head of Households, Asian Alone, 2019","# Population, Hispanic, American Indian and Alaska Native Alone, 2019","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2019","# Population, Hispanic, Asian Alone, 2019","# Population, Hispanic, White Alone, 2019","# Hispanic Head of Households, White Alone, 2019","# Population, Hispanic, Two or More Races, 2019","# Hispanic Head of Households, Two or More Races, 2019","# Population, 2019"
"43001, Alexandria, OH",43001,97761,12,12,12,5,5,12,5,2463,933,2419,16,65,2484,2,0,0,0,1,0,0,45,13,6,1,2549
"43002, Amlin, OH",43002,100000,8,5,6,2,3,10,3,83,42,76,3,10,95,1,0,0,0,0,0,0,4,2,1,0,105
"43003, Ashley, OH",43003,67188,11,30,29,13,3,11,3,3774,1484,3731,6,57,3851,1,0,0,0,0,0,0,46,4,7,1,3908
"43004, Blacklick, OH",43004,93200,830,6949,6857,2537,289,821,292,16644,6908,16124,257,874,24814,57,90,25,3,8,0,9,522,156,57,16,25688
"43005, Bladensburg, OH",43005,57407,0,1,1,0,0,0,0,356,115,354,0,2,363,0,0,0,0,0,0,0,1,0,1,0,365
"43006, Brinkhaven, OH",43006,64796,1,2,2,0,1,1,1,533,197,532,1,3,542,0,0,0,0,0,0,0,2,1,0,0,545
"43008, Buckeye Lake, OH",43008,44449,13,102,97,39,4,13,4,2967,1230,2935,16,51,3149,3,4,1,0,1,0,0,33,12,4,0,3200
"43009, Cable, OH",43009,81336,12,24,24,7,3,12,3,1743,650,1736,3,12,1818,0,0,0,0,2,0,0,7,3,2,0,1830
"43010, Catawba, OH",43010,88235,1,1,1,0,0,1,0,219,81,218,0,2,224,0,0,0,0,0,0,0,2,0,0,0,226
"43011, Centerburg, OH",43011,87500,22,64,62,13,4,21,4,6737,2418,6709,14,44,6894,2,0,0,0,0,0,0,35,12,3,0,6938
"43013, Croton, OH",43013,90196,3,6,6,1,0,3,0,1117,410,1110,3,13,1144,1,0,0,0,0,0,0,6,2,0,0,1157
"43014, Danville, OH",43014,64184,15,17,15,8,2,13,2,3600,1266,3577,11,36,3638,1,0,0,0,0,0,0,33,10,0,0,3674
"43015, Delaware, OH",43015,85501,1043,2204,2153,790,271,1018,273,49863,19595,49078,306,1342,53850,75,41,9,2,19,3,20,808,203,107,14,55192
"43016, Dublin, OH",43016,115915,7900,1324,1284,560,2796,7865,2802,26465,11694,25764,362,1236,36088,105,38,7,6,4,3,23,717,220,87,21,37324
"43017, Dublin, OH",43017,127259,5737,1621,1559,532,1844,5696,1849,32656,12734,31750,433,1708,40214,158,57,10,5,2,0,22,935,242,95,18,41922
"43019, Fredericktown, OH",43019,73978,15,50,50,8,4,15,4,7649,2918,7620,13,66,7768,4,0,0,0,0,0,0,30,8,12,1,7834
"43021, Galena, OH",43021,144962,330,298,287,84,92,323,92,11633,3997,11517,44,193,12384,8,6,2,0,0,0,2,130,32,11,2,12577
"43022, Gambier, OH",43022,78571,62,122,119,24,8,62,8,4504,1151,4430,11,107,4761,2,2,0,0,1,0,0,76,9,9,0,4868
"43023, Granville, OH",43023,111054,355,226,212,33,49,347,49,12352,4161,12195,38,253,12988,3,11,0,0,0,0,1,170,35,31,0,13241
"43025, Hebron, OH",43025,62955,38,67,63,20,8,37,8,7036,2851,6968,24,105,7223,3,3,0,0,0,0,0,74,20,15,1,7328
"43026, Hilliard, OH",43026,100581,4402,3322,3228,1102,1320,4384,1321,50855,19911,49693,624,2467,59206,242,86,24,1,15,2,8,1185,325,188,30,61673
"43028, Howard, OH",43028,83872,45,93,86,35,12,44,12,8035,3008,7977,27,107,8206,7,4,1,0,5,1,0,63,17,11,1,8313
"43029, Irwin, OH",43029,73387,5,3,3,1,1,5,1,454,144,452,0,4,470,0,0,0,0,0,0,0,2,0,0,0,474
"43030, Jacksontown, OH",43030,31667,1,4,3,1,0,1,0,104,45,103,0,2,109,0,0,0,0,0,0,0,2,0,0,0,111
"43031, Johnstown, OH",43031,93639,82,92,88,29,14,77,14,12331,4798,12208,49,187,12610,8,1,1,0,0,0,2,136,39,13,1,12797
"43032, Kilbourne, OH",43032,,,,,,,,,,,,,,,,,,,,,,,,,,
"43033, Kirkersville, OH",43033,37250,0,8,8,2,0,0,0,228,92,225,1,4,244,0,0,0,0,0,0,0,3,1,0,0,248
"43035, Lewis Center, OH",43035,135264,3365,1405,1385,493,1009,3351,1011,22341,7981,21849,211,898,27347,76,18,2,2,8,1,9,500,120,66,10,28245
"43036, Magnetic Springs, OH",43036,52500,2,2,2,1,0,2,0,356,136,355,0,2,368,0,0,0,0,0,0,0,2,0,0,0,370
"43037, Martinsburg, OH",43037,81522,1,2,2,0,0,1,0,297,110,295,0,4,305,0,0,0,0,0,0,0,2,0,0,0,309
